EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TARGET
34483,733952,0,1.0,2013,,0
34483,705942,1,0.06,2015,,0
34483,644075,0,1.0,2015,,0
34483,640848,1,1.0,1998,,0
34483,495194,1,1.0,2000,,0
34483,478849,1,1.0,2012,,0
34483,424096,1,1.0,2010,,0
34483,20187,1,1.0,2000,,0
35899,730403,0,0.3,2015,,0
35899,657541,0,1.0,2014,,0
36355,673679,1,1.0,2014,,0
36355,666374,1,1.0,2014,,0
37623,688079,1,0.1,2005,2006.0,0
37623,641315,1,0.5,2007,,0
40219,713779,1,0.2,2007,,0
40445,730095,0,0.5,2014,,0
40445,681258,0,0.33299999999999996,2014,,0
43115,729724,1,0.33,2008,2011.0,0
43115,727005,0,0.49,2010,2012.0,0
43115,724736,0,1.0,2006,,0
46746,161865,1,1.0,2013,,0
48782,722021,1,0.04,2013,,0
48782,684713,1,0.002,2010,,0
48782,319380,1,0.5,2005,,0
50001,691688,0,0.06,1996,,0
50464,717249,0,0.08,2014,2015.0,0
53752,734292,0,0.001,2001,,0
53752,708175,0,0.95,2010,2013.0,0
53752,642838,0,0.004,2008,,0
54074,655280,0,0.6,2009,,1
54074,651919,1,0.009000000000000001,2014,,1
54074,426144,1,1.0,2012,,1
54074,273859,1,1.0,2013,,1
55090,675055,0,1.0,2014,,0
55090,667044,1,0.1,2015,,0
55090,642437,0,0.004,2014,,0
55090,342217,1,1.0,2012,,0
56533,723436,0,0.063,2006,,1
57910,738136,0,0.5,2014,,0
57910,675826,1,0.8,2013,,0
57910,669244,0,0.024,2008,,0
57910,640625,1,0.7140000000000001,1997,,0
57910,640263,1,0.35,2007,,0
57910,445272,1,0.55,2000,,0
57910,379403,1,0.5,2006,,0
57910,318510,1,0.8,2013,,0
57910,225601,1,0.0,2000,,0
57910,158064,1,0.98,2007,,0
60629,712495,1,1.0,2011,,0
60629,648163,1,0.51,2013,,0
60629,493669,1,0.33299999999999996,2015,,0
60629,406179,1,0.33299999999999996,2015,,0
62025,699523,1,1.0,1987,2007.0,0
62025,677886,1,1.0,1992,,0
62025,677355,1,1.0,1994,2015.0,0
62025,637992,1,1.0,1988,2007.0,0
62025,626263,1,1.0,1998,,0
62025,291581,1,1.0,1995,,0
64553,665161,0,0.3,2010,,0
65593,631694,0,0.97,2009,,0
68368,674559,1,1.0,2009,2010.0,0
70882,718105,1,0.31,2012,,1
72989,417256,1,1.0,2014,,1
74352,655396,0,0.011000000000000001,1994,,0
79247,675605,0,1.0,2007,2013.0,0
80098,656233,1,0.3,2014,,0
85259,640031,0,1.0,2015,,0
85714,296637,1,0.9,2008,,0
85803,664658,1,1.0,2014,,0
88260,675893,0,0.15,2014,,0
90270,703634,1,0.25,2012,,0
91163,708897,1,0.8,1994,,0
91163,677495,0,0.41600000000000004,2004,,0
92197,717327,0,0.51,2015,,0
92197,714397,0,1.0,2015,,0
92197,699074,0,0.51,2015,,0
92197,660602,0,0.51,2015,,0
92197,103065,1,1.0,2015,,0
93386,691170,1,0.99,2013,2015.0,0
93386,673336,1,0.99,2013,,0
93386,653630,1,0.99,2013,2015.0,0
93386,637870,1,0.99,2013,,0
93386,630851,1,0.99,2013,2015.0,0
93386,312854,1,0.006999999999999999,2013,,0
93386,72452,1,0.99,2013,,0
94948,665558,1,0.027000000000000003,2002,,0
94948,642674,0,0.7509999999999999,2009,,0
95730,651050,0,0.7,2007,2012.0,0
96832,644964,1,0.01,2015,,0
96832,143593,1,0.005,2014,,0
96991,297807,1,0.27,2007,,0
97134,735068,0,1.0,2012,,0
97134,728005,1,0.02,2012,,0
97134,727964,0,1.0,2012,,0
97134,719481,1,0.02,2012,,0
97134,715997,1,1.0,2013,,0
97134,714920,1,1.0,2013,,0
97134,685214,1,0.02,2013,,0
97134,677334,1,1.0,2012,,0
97134,673389,0,0.33299999999999996,2007,,0
97134,663615,0,1.0,2012,,0
97134,652410,0,1.0,2012,,0
97134,625616,0,1.0,2012,,0
97134,478714,1,0.2,2012,,0
97134,470535,1,0.8,2001,,0
97134,455817,1,0.7,2012,,0
97134,384046,1,0.62,2012,,0
97134,378918,1,0.65,2013,,0
97134,284172,1,0.753,2008,,0
97134,171371,1,1.0,2012,,0
97134,110233,1,1.0,2013,,0
98830,207074,1,0.4,2010,,0
99981,250270,1,0.9229999999999999,2005,,0
100046,164190,1,0.5,2015,,0
102929,733242,1,0.9,2006,2012.0,0
102929,672922,1,0.667,2005,2011.0,0
102929,650938,0,0.9,2010,,0
102929,645296,1,0.8,2003,2011.0,0
102929,638679,0,0.9,2009,2014.0,0
103217,271010,1,0.191,2004,,0
103381,722491,1,0.6829999999999999,2001,2011.0,0
103381,185224,1,0.727,2003,,0
108212,699070,1,0.3,1998,2011.0,1
109285,628527,0,0.25,2010,,0
110500,738236,0,1.0,2015,,0
110500,714761,0,1.0,2015,,0
110500,701977,0,1.0,2013,,0
110500,685224,0,1.0,2014,,0
110500,663623,0,0.376,2011,,0
110500,660774,0,0.95,2013,,0
111096,713226,1,1.0,2000,,0
111096,641517,1,0.21,2007,,0
114806,723622,0,0.5,2014,,0
114806,638863,0,0.02,2008,,0
115414,694646,1,0.39399999999999996,1993,2010.0,1
118004,719341,1,0.66,2014,,0
118004,636008,0,0.49,2015,,0
118004,5472,1,0.34,2015,,0
120895,710819,0,0.55,2009,,0
121289,624190,1,0.0,2012,,0
121289,496357,1,0.02,2010,,0
123447,724693,0,0.4,2015,,0
123811,703271,0,0.3,2015,,0
123811,678799,0,0.4,2013,,0
130061,686356,1,0.005,2014,,0
130061,645635,0,0.25,2015,,0
130061,634213,1,0.5,2015,,0
130799,623155,0,0.231,2013,,0
130799,504734,1,0.4,2014,,0
132670,733926,1,0.56,2012,,0
138287,740148,1,0.09,2011,,0
140801,727233,1,0.429,2014,,0
140892,730805,1,0.9,2012,,0
141894,715268,1,0.01,2006,,0
143668,663212,1,1.0,2012,,0
146120,627708,1,0.33399999999999996,2008,,1
149580,402816,1,0.49,1998,,0
151336,87430,1,1.0,2009,,0
152123,686485,0,0.027999999999999997,1996,,0
152123,685508,0,0.02,2008,,0
152123,657382,0,0.214,2005,,0
152399,722098,0,1.0,2015,,0
152399,693471,0,0.75,2015,,0
157757,734164,1,1.0,2008,,0
157757,133477,1,0.975,2004,,0
157757,115287,1,1.0,2008,,0
157757,17310,1,0.5,2004,,0
157839,709207,1,0.02,2010,,0
159100,431775,1,0.5,2001,,0
159387,691655,1,0.9,2005,2006.0,0
161422,307726,1,0.02,2015,,1
162174,717439,0,0.49,2010,,0
162174,666764,0,0.5,2007,,0
162890,717171,1,0.3,2015,,0
162890,696021,1,1.0,2015,,0
162890,525820,1,0.071,2009,,0
162890,491780,1,1.0,2014,,0
162890,294625,1,1.0,2015,,0
164849,641908,0,0.01,2013,,1
164849,641337,0,1.0,2013,,1
166613,206437,1,0.198,2012,,0
168362,702433,0,0.3,2007,,0
168843,682238,1,0.5,2014,,1
168843,277032,1,0.9,2006,,1
169938,739477,1,0.6,1996,2006.0,1
169938,736418,1,0.33299999999999996,2002,,1
169938,730798,0,0.1,1996,2011.0,1
169938,727031,1,0.2,1996,,1
169938,723301,1,0.10300000000000001,1998,,1
169938,654118,1,1.0,1993,,1
169938,653306,0,0.4,1994,2002.0,1
169938,651811,0,0.35,1993,2005.0,1
169938,650971,1,0.85,2000,2009.0,1
169938,642690,1,0.7,2000,2013.0,1
169938,246999,1,0.25,1990,,1
169938,233994,1,1.0,1992,,1
169938,37429,1,0.5,2000,,1
173165,642657,1,0.833,2004,2006.0,0
176461,653774,1,1.0,2012,,0
179264,725698,0,0.1,2014,,0
180551,726063,1,0.6,2009,,0
180551,638462,1,0.6,2013,,0
180551,403254,1,0.52,2002,,0
180551,12751,1,0.52,2009,,0
182111,735074,1,0.51,2013,,0
182111,715413,1,0.51,2014,,0
182111,696762,1,0.317,2012,,0
182111,458000,1,1.0,2013,,0
182111,211046,1,1.0,2014,,0
182111,206659,1,1.0,2010,,0
183359,675917,0,0.7,2015,,0
185997,737089,1,0.2,2005,,0
187835,740329,0,1.0,2013,,0
187835,709772,1,0.75,2015,,0
187835,695621,1,0.25,2009,,0
187835,681262,1,1.0,2015,,0
187835,647441,1,1.0,2005,,0
187835,628933,1,0.9,2015,,0
187835,392507,1,0.8,2014,,0
187835,119187,1,1.0,2015,,0
189293,728118,1,1.0,1999,,0
189293,705383,1,1.0,1997,,0
189293,660284,1,1.0,1995,,0
189293,654861,1,1.0,2007,,0
189293,651992,1,1.0,2003,,0
189293,647871,1,1.0,2000,,0
189293,327189,1,1.0,1997,,0
189293,262693,1,1.0,1999,,0
189293,260488,1,1.0,1998,,0
189293,211789,1,1.0,1993,,0
189293,109166,1,1.0,2001,,0
193068,442305,1,1.0,2011,,0
193072,391184,1,0.25,1994,,1
193887,733222,0,1.0,2013,,0
193887,731417,0,1.0,2012,,0
193887,731045,0,1.0,2012,,0
193887,727220,0,1.0,2013,,0
193887,686225,1,1.0,2013,,0
193887,684406,1,1.0,2013,,0
193887,678281,1,1.0,2013,,0
193887,677805,0,1.0,2012,,0
193887,637667,0,0.55,2012,,0
193887,633249,1,1.0,2013,,0
193887,625087,1,1.0,2013,,0
193887,498404,1,1.0,2013,,0
196734,626951,1,0.5,2012,,0
199721,726353,0,0.2,2013,,0
199721,680057,0,0.2,2005,,0
199721,651949,0,0.2,2010,,0
199721,645003,0,0.1,2014,,0
199721,623570,0,0.1,2009,,0
199721,448488,1,0.25,2012,,0
199721,389426,1,0.2,2011,,0
199721,184599,1,1.0,2009,,0
200338,725708,0,0.16399999999999998,2009,,0
200338,694169,1,0.3,2009,,0
200338,651693,1,0.5,2013,,0
200338,345203,1,0.3,2013,,0
201955,143257,1,1.0,2011,,0
203081,656295,0,1.0,2004,,0
203081,316303,1,0.5,2006,,0
203081,221288,1,0.5,2006,,0
204789,682515,1,0.2,2004,,0
204789,637479,1,0.998,2004,,0
204789,629308,1,0.99,2005,,0
204789,343815,1,0.495,2004,,0
204789,313300,1,0.05,2011,,0
208219,665443,1,0.33299999999999996,2015,,0
208393,737791,1,0.02,2012,,0
208393,654916,1,0.5,2014,,0
208871,712549,1,1.0,2010,,1
209263,717168,0,0.5,2013,,0
211342,729000,1,0.02,2009,,0
211342,694585,1,0.071,2015,,0
211342,679209,0,0.008,2008,,0
211342,625971,1,0.02,2015,,0
212498,710222,1,0.17,2000,2011.0,0
212498,708997,1,0.8,2012,2014.0,0
212498,707697,1,0.8,2000,2010.0,0
212498,701227,1,0.8,2012,2014.0,0
212498,669741,1,0.5,1999,,0
212498,656190,1,0.8,2012,2015.0,0
212498,632849,1,0.5,1999,,0
212498,350093,1,0.8,2012,,0
212498,240734,1,0.8,2012,,0
212498,225775,1,0.8,2012,,0
212498,209670,1,0.8,2012,,0
212895,317953,1,1.0,2002,,0
213603,667757,0,0.75,2004,,0
213603,632748,1,0.4,1999,,0
215104,737745,1,0.6,1996,2013.0,0
215104,714814,1,1.0,1996,,0
215104,692063,1,0.49,2001,,0
215104,688215,1,0.48700000000000004,2013,,0
215104,688215,1,0.48700000000000004,2013,,0
215104,686249,1,1.0,1996,2007.0,0
215104,668044,1,0.9740000000000001,2013,,0
215104,663255,1,0.667,2004,2012.0,0
215104,663246,1,0.46,2005,2008.0,0
215104,653393,1,0.8,1997,2007.0,0
215104,646601,1,0.5,1996,2006.0,0
215104,641208,1,1.0,2010,2012.0,0
215104,640456,1,0.4,1998,,0
215104,627059,0,0.8,1997,2000.0,0
215104,624757,1,0.7,2007,2011.0,0
215104,507225,1,0.33299999999999996,2013,,0
215104,894,1,1.0,1998,,0
215238,722542,0,0.45,2001,,0
217431,731310,1,1.0,2008,2010.0,0
218872,684251,1,0.6,2009,,0
221320,685649,0,0.51,2015,,0
221320,656161,0,0.51,2013,,0
221320,629595,0,0.5,2011,,0
224047,682189,1,1.0,2015,,0
224047,653909,1,1.0,2007,,0
224047,628357,0,0.55,2008,,0
225464,692153,0,0.9,2004,,0
225464,627714,0,0.52,1988,,0
225464,624045,0,0.51,2004,,0
225640,630899,1,1.0,2001,,0
225949,722993,1,0.125,2001,,0
225949,715159,1,0.5,2012,,0
225949,644097,1,0.195,2013,,0
225949,396294,1,0.009000000000000001,2015,,0
225949,273590,1,0.05,2013,,0
225949,261790,1,0.25,2014,,0
227871,638282,1,0.8,2015,,0
228105,666059,1,0.5,2002,2011.0,0
228737,650587,0,0.03,2010,,0
229078,297367,1,0.222,2000,,0
230076,662918,1,0.1,2002,2007.0,0
230136,644736,0,1.0,2014,,0
230461,683598,1,0.13,2001,2006.0,1
230653,662809,1,1.0,2002,,0
231036,674712,1,0.5,2003,,0
232335,677435,1,0.16699999999999998,2012,,1
234013,625792,0,1.0,2011,,0
234725,705548,1,1.0,1997,2007.0,0
234725,674194,1,0.067,1993,,0
235845,644727,1,0.515,2008,,0
235845,333620,1,0.515,2015,,0
235845,274119,1,0.511,2001,,0
240177,657065,0,1.0,2015,,0
241053,648641,1,0.49,2007,2008.0,0
241053,639784,1,0.3,2014,,0
242218,725176,1,0.25,2014,,0
242218,698734,0,1.0,1991,2001.0,0
242218,435602,1,0.4,2015,,0
242218,411984,1,1.0,1994,,0
243006,737571,0,0.95,2003,2003.0,0
243006,735535,0,0.95,2003,2008.0,0
243006,719198,0,0.9,2005,,0
243006,712447,0,0.9,2004,,0
243006,710358,0,0.4,2006,,0
243006,708701,0,0.95,2005,2014.0,0
243006,695608,0,0.8,2003,2010.0,0
243006,642188,0,0.9,2006,,0
245533,250314,1,0.5,2001,,0
246536,264887,1,0.249,2013,,0
249106,354006,1,0.01,2015,,0
249854,660193,1,0.0,2014,,1
252401,682982,1,0.1,2010,,0
256978,655330,0,0.25,2014,,0
258104,701533,0,0.05,2012,,0
258490,719713,1,0.16699999999999998,2012,,0
258490,705124,1,1.0,1993,2013.0,0
258490,693498,1,1.0,1995,2013.0,0
258490,628610,1,1.0,1995,2008.0,0
258585,669162,1,1.0,2015,,0
258585,658459,1,0.3,2009,2010.0,0
260868,671284,0,0.3,2003,,0
263176,738241,1,0.8,2005,,0
264429,706361,1,0.055999999999999994,2015,,0
264539,675243,1,0.7,2007,,0
265018,732584,0,0.9,2010,,0
265018,723455,1,0.5,2012,2013.0,0
265018,684749,1,0.5,2012,2013.0,0
265018,657427,1,0.9,2007,,0
265018,523610,1,0.5,2012,,0
265018,266924,1,0.5,2012,,0
265018,68949,1,0.5,2012,,0
265119,716088,1,1.0,1993,2006.0,0
265119,205847,1,1.0,1994,,0
265654,667032,0,0.099,2010,,0
265654,228281,1,0.5,2004,,0
266439,225601,1,0.0,2000,,0
270883,674836,1,0.1,1985,,0
271744,664201,0,0.15,2003,,0
271744,650844,1,0.25,2015,,0
271744,292168,1,0.3,2010,,0
271746,717871,0,0.95,2003,,0
271746,693514,0,0.9,2004,2013.0,0
271746,691861,0,0.95,2003,,0
271746,685283,0,0.9,2004,2008.0,0
271746,679275,0,0.95,2003,,0
271746,673886,0,0.9,2004,2014.0,0
271746,669696,0,0.1,2003,2007.0,0
271746,668632,0,0.5,2004,,0
271746,661831,0,0.95,2004,2012.0,0
271746,654202,0,0.95,2003,2012.0,0
271746,645734,0,0.95,2006,2008.0,0
273304,624794,0,1.0,1999,,0
273701,676048,0,0.55,2014,,0
276474,687100,1,0.26,2003,,1
280448,709210,1,0.45,2001,,0
280448,648975,1,0.057,1999,2008.0,0
280448,626079,1,0.2,2007,2013.0,0
281894,716096,1,0.667,2001,,0
282128,678871,1,0.5,2014,,0
282128,74670,1,0.4,2014,,0
283018,343126,1,0.016,1995,,0
283503,281888,1,0.45,2008,,0
284971,717086,0,0.95,2004,,1
284971,706980,0,0.99,2013,,1
284971,682613,0,0.6,2013,,1
285159,730636,1,0.7,2013,,0
285159,709316,0,0.7,2012,,0
285159,696440,0,0.69,2013,2015.0,0
285159,663358,0,0.55,2013,,0
285159,658066,0,0.55,2013,,0
285159,639833,0,0.49,2006,,0
285159,636149,0,0.29,2006,,0
285159,630503,0,0.7,2013,,0
289265,724821,0,0.755,2014,,0
289265,666364,0,0.285,2013,,0
292167,432356,1,0.25,2012,,0
292570,635633,1,0.0,2015,,1
292570,416266,1,0.0,2015,,1
292570,376042,1,0.0,2015,,1
292570,27417,1,0.23,2015,,1
295450,648740,0,0.5,2014,,0
298543,428752,1,0.5,2012,,1
301326,638767,1,0.55,2013,,0
305477,639714,0,0.3,2009,2011.0,0
305477,626374,1,0.33299999999999996,2000,,0
309579,736917,0,0.51,2004,,0
309579,700002,0,0.7,2003,,0
309579,654488,0,0.5,2006,,0
309579,634360,0,0.55,2006,,0
310479,684298,1,0.335,2008,2010.0,0
311292,173469,1,0.7,2010,,0
311521,647198,1,0.5,2015,,0
315424,722396,0,0.51,2001,2014.0,0
315424,684690,1,0.5,2004,2007.0,0
315424,407654,1,0.5329999999999999,1999,,0
317862,664472,0,1.0,2015,,0
318018,727116,1,1.0,2006,2012.0,0
321164,723527,1,0.08,2004,,0
322255,635577,0,0.013000000000000001,2007,,0
325124,648952,0,0.368,2014,,0
326777,705811,0,0.182,2011,,0
326826,110324,1,1.0,2015,,0
327285,651910,0,0.2,2001,,0
327285,410143,1,0.16699999999999998,2015,,0
327285,385016,1,0.2,2009,,0
329325,641147,0,0.053,2001,,0
329490,645268,0,0.9990000000000001,2013,2014.0,0
329534,688406,0,0.75,2011,2014.0,0
329534,662698,1,0.99,2009,2011.0,0
329534,297295,1,0.4,2005,,0
330188,688981,1,1.0,2007,,1
330188,686256,0,0.7,2008,,1
330188,663085,0,0.51,2009,,1
330188,100156,1,0.51,2004,,1
333179,738446,1,1.0,1988,,0
333179,732559,0,1.0,2004,,0
333179,728959,0,0.51,2000,,0
333179,718147,1,1.0,1993,,0
333179,697618,0,0.341,2001,,0
333179,690388,0,1.0,1999,,0
333179,686638,0,1.0,1988,,0
333179,685121,0,1.0,1987,2006.0,0
333179,680624,0,1.0,2007,2008.0,0
333179,679510,0,0.021,1990,,0
333179,678572,0,0.062,2008,,0
333179,678572,0,0.062,2008,,0
333179,665520,1,1.0,1993,2007.0,0
333179,664843,0,0.9,1988,2012.0,0
333179,660119,1,0.33299999999999996,2013,,0
333179,659956,0,0.23399999999999999,1996,2008.0,0
333179,659948,0,1.0,1999,,0
333179,657520,0,1.0,1993,,0
333179,652525,0,1.0,2007,2012.0,0
333179,643409,0,0.25,1994,,0
333179,642770,0,0.13,1997,,0
333179,632652,0,0.22899999999999998,1995,2011.0,0
333179,631265,1,1.0,1993,2010.0,0
333179,501366,1,0.063,2000,,0
333179,288496,1,0.3,1993,,0
333179,192258,1,0.004,2008,,0
333179,184854,1,0.5,2009,,0
333179,158014,1,1.0,1993,,0
333179,7221,1,0.45,2013,,0
335174,738520,0,1.0,2008,2011.0,0
337212,733532,0,0.5,1996,2006.0,0
337212,705262,0,0.8,1996,2001.0,0
338205,710211,1,0.071,2012,,0
338205,692355,1,0.25,2015,,0
338205,155074,1,0.005,2005,,0
338434,736174,1,0.25,2008,2010.0,0
338434,634376,1,0.5,2007,,0
338584,653874,0,0.1,2007,2007.0,0
338584,424902,1,0.3,2009,,0
340723,688289,0,1.0,2015,,0
341978,625564,0,0.9,2005,,0
341978,209616,1,1.0,2007,,0
345131,239826,1,0.499,2001,,0
345519,662047,1,0.504,2001,2012.0,0
346073,734897,1,1.0,2013,,0
346073,699885,1,1.0,2013,,0
346073,674973,1,1.0,2014,,0
346073,626102,1,1.0,2013,,0
346073,503682,1,1.0,2014,,0
346073,494996,1,1.0,2013,,0
346073,412565,1,1.0,2014,,0
346073,372995,1,1.0,2014,,0
346073,114007,1,1.0,2013,,0
346073,11989,1,1.0,2013,,0
346073,2151,1,1.0,2013,,0
349285,675998,0,1.0,2012,,0
349285,484111,1,0.5,2011,,0
349494,710438,1,0.1,2008,,0
349494,705010,0,0.3,2007,,0
349494,694877,0,0.05,2011,,0
349494,679556,0,0.55,2008,,0
349494,672545,1,0.98,1992,,0
349494,640716,0,0.55,2015,,0
349494,638825,1,0.51,2014,,0
349494,629636,0,1.0,2009,,0
349494,436636,1,1.0,2004,,0
349494,247839,1,1.0,2004,,0
349494,183238,1,1.0,2004,,0
349494,23353,1,1.0,2006,,0
352555,670548,1,1.0,2014,,0
353175,730428,1,1.0,1990,2008.0,0
355286,634674,0,0.406,2006,2008.0,0
360824,711092,0,0.8,2005,,0
360824,685113,0,1.0,2006,,0
360824,682806,1,1.0,2001,2014.0,0
360824,676617,0,1.0,2007,,0
360824,667796,1,1.0,1988,2009.0,0
360824,635120,0,0.9,2012,,0
360824,633570,1,1.0,2005,2012.0,0
360824,384713,1,1.0,2004,,0
360824,361448,1,1.0,2005,,0
360824,94971,1,0.057999999999999996,2002,,0
364531,47950,1,0.16699999999999998,2013,,0
364665,439087,1,0.0,2015,,0
364665,439087,1,1.0,2015,,0
365884,664704,1,1.0,2005,,0
367778,705705,0,1.0,2015,,0
367778,633488,0,0.35700000000000004,2015,,0
369564,682175,1,0.4,2003,,0
370216,629878,1,0.25,2005,,0
371746,647676,1,0.075,2003,,0
372879,683410,0,0.48,1996,2000.0,1
374215,723585,1,1.0,2006,2013.0,0
374215,708465,1,1.0,2008,2013.0,0
374215,683652,1,1.0,2009,2013.0,0
374215,659636,1,1.0,2000,2013.0,0
374234,735457,1,1.0,2006,,0
374234,708891,1,1.0,2004,,0
374234,706724,1,0.5,2003,,0
374234,692052,1,0.139,2015,,0
374234,680566,1,0.5,2013,,0
374234,522986,1,0.2,2014,,0
374234,521904,1,0.5,2005,,0
374234,519930,1,0.33299999999999996,2003,,0
374234,518078,1,0.33299999999999996,2003,,0
374234,508650,1,0.5,1992,,0
374234,355005,1,0.4,2006,,0
374234,295378,1,1.0,2004,,0
374234,139235,1,1.0,2007,,0
374234,127615,1,1.0,2005,,0
375724,675180,1,0.12,2004,,0
377606,733701,1,0.5,2014,,0
379567,688225,1,1.0,2014,,0
382458,708493,0,0.701,2006,,1
382458,708428,1,1.0,2011,,1
382458,705500,0,0.25,2009,,1
382458,699507,1,0.8,2002,2008.0,1
382458,673678,1,0.5,2007,2008.0,1
382458,660762,0,1.0,2011,,1
382458,656185,0,1.0,2014,,1
382458,651068,0,1.0,2011,,1
382458,647752,0,1.0,2014,,1
382458,646839,1,0.8,2003,2007.0,1
382458,640404,0,1.0,2010,,1
382458,633086,0,0.5,2011,,1
382458,623163,1,0.8,2005,2006.0,1
382458,197252,1,1.0,2011,,1
384127,640129,0,0.23399999999999999,2004,2004.0,0
385188,702728,1,0.33299999999999996,2003,,0
387279,694589,1,0.4,2014,,0
387279,680010,1,0.35,2011,,0
387797,724882,0,1.0,2011,,0
390226,639575,0,0.057999999999999996,1997,,0
391323,650467,1,0.011000000000000001,2015,,0
391323,649564,1,0.01,2015,,0
395849,734297,1,0.6,2010,2014.0,1
396598,730665,1,0.4,2014,,0
396598,680157,1,0.49,2014,,0
396823,724623,0,0.6,2015,,0
396823,691875,1,0.8,2009,,0
397854,707116,1,0.036000000000000004,2001,2012.0,1
402322,685298,0,0.059000000000000004,2012,,0
402322,634765,0,0.29,2012,,0
403042,719857,0,0.5,2013,,0
405547,689448,0,1.0,2012,,0
405547,626864,0,0.13,2011,,0
405961,98002,1,0.49,2014,,0
406839,210603,1,0.7,2014,,0
409701,681172,0,0.21,2003,,0
411631,715708,0,0.4,2007,,0
412109,686264,1,0.9,2005,2006.0,0
412696,708266,0,1.0,2015,,0
412696,90497,1,0.4,2007,,0
416415,88457,1,1.0,2014,,0
420081,720483,0,1.0,2012,,0
420081,660635,0,1.0,2015,,0
420652,487297,1,0.3,2014,,0
423669,466110,1,0.09699999999999999,2015,,0
423786,729922,1,0.042,2012,,0
423786,709656,1,0.10300000000000001,2013,,0
423786,694479,1,0.059000000000000004,2010,,0
423786,693781,1,0.1,2008,,0
423786,692128,1,0.09300000000000001,2007,,0
423786,691403,0,0.037000000000000005,2013,,0
423786,670645,0,0.083,2012,,0
423786,629957,0,0.035,2012,,0
423786,378018,1,0.204,2010,,0
423786,322987,1,0.08900000000000001,2014,,0
423786,291473,1,0.067,2012,,0
423786,232935,1,0.132,2002,,0
423786,98554,1,0.1,2000,,0
425027,722190,0,1.0,2006,,0
425027,704753,0,0.98,2005,,0
425027,688309,0,1.0,2011,,0
425027,679848,0,0.8,2009,,0
425027,485844,1,0.99,1999,,0
428385,717532,1,0.8,2011,,0
429530,725943,1,1.0,2011,2012.0,0
429530,693639,0,0.3,2011,,0
429530,669705,1,0.5,2005,,0
429530,202555,1,0.66,2004,,0
432065,726312,0,0.025,2006,,1
432480,731747,1,0.75,1994,,0
433167,54836,1,0.35,2007,,0
433492,651152,1,1.0,2015,,0
433492,641639,1,1.0,2015,,0
433492,637547,1,0.28800000000000003,1999,,0
435081,735182,1,1.0,2015,,0
435081,705087,0,0.49,2014,,0
435081,704037,0,1.0,2014,,0
435081,702666,0,1.0,2015,,0
435081,702534,0,1.0,2014,,0
435081,699602,0,1.0,2013,2013.0,0
435081,692788,0,1.0,2015,,0
435081,687680,1,1.0,2015,,0
435081,683269,1,1.0,2014,,0
435081,669691,1,1.0,2015,,0
435081,666185,0,1.0,2013,,0
435081,664092,0,1.0,2014,,0
435081,663484,0,1.0,2013,,0
435081,651838,1,1.0,2015,,0
435081,651445,0,1.0,2013,,0
435081,644106,0,1.0,2015,,0
435081,639755,0,1.0,2015,,0
435081,638460,1,1.0,2015,,0
435081,637238,0,1.0,2014,,0
435081,634464,0,1.0,2014,,0
