EID,TYPECODE,FBDATE,SXENDDATE,TARGET
190211,1258825,2015/3/1,2015/7/1,1
198267,1123565,2015/1/1,,0
198267,27829712,2015/1/1,,0
202487,936941,2014/12/1,,0
202487,17563816,2014/12/1,,0
208675,1213521,2015/2/1,,0
208675,1536228,2015/5/1,,0
208675,37462586,2015/2/1,,0
218654,1098576,2015/1/1,2015/7/1,0
223427,1083444,2015/1/1,,1
244799,2262196,2015/8/1,,1
244799,105607751,2015/8/1,,1
246158,1170283,2015/2/1,,0
260236,204030,2014/7/1,,1
260236,204031,2014/7/1,,1
260236,1805262,2015/6/1,,1
260236,93700482,2015/6/1,,1
260236,60696364,2014/7/1,,1
260236,60696198,2014/7/1,,1
262065,204964,2014/7/1,,0
262875,1780875,2015/6/1,,1
262875,92403898,2015/6/1,,1
298082,210776,2014/7/1,,1
298082,73366515,2014/7/1,,1
376739,801874,2014/12/1,,0
401151,139793,2014/5/1,,1
402053,1118469,2015/1/1,,0
442395,1989537,2015/7/1,,0
442395,101090387,2015/7/1,,0
444926,883361,2014/12/1,,1
444926,1494133,2015/4/1,,1
444926,96525273,2015/4/1,,1
444926,88991967,2014/12/1,,1
5407,2000373,2015/7/1,,1
5407,81304325,2015/7/1,,1
76819,205455,2014/7/1,,1
76819,205431,2014/7/1,,1
76819,80116265,2014/7/1,,1
76819,80116288,2014/7/1,,1
111655,602950,2014/10/1,,1
111655,79558903,2014/10/1,,1
131698,542528,2014/10/1,,0
131698,1357013,2015/3/1,,0
131698,98062156,2015/3/1,,0
131698,79523219,2014/10/1,,0
132141,657060,2014/11/1,2015/7/1,0
211586,936999,2014/12/1,,0
211586,9571330,2014/12/1,,0
245571,1123835,2015/1/1,,1
331452,933427,2014/12/1,2015/7/1,0
331452,933442,2014/12/1,2015/7/1,0
331452,936965,2014/12/1,2015/7/1,0
331452,193491,2014/6/1,2015/7/1,0
339106,933392,2014/12/1,,0
339106,66004923,2014/12/1,,0
362200,90485,2014/2/1,,0
362200,73365744,2014/2/1,,0
371252,2011188,2015/7/1,,0
394230,172450,2014/6/1,2015/7/1,1
397032,90998,2014/2/1,,1
397032,73384015,2014/2/1,,1
399357,1118163,2015/3/1,,0
422180,1647317,2015/5/1,,0
422180,100467945,2015/5/1,,0
432193,611278,2014/10/1,2015/7/1,1
437681,1096296,2015/1/1,,0
437681,1715066,2015/6/1,,0
437681,99085100,2015/6/1,,0
437681,27809961,2015/1/1,,0
489124,190606,2014/6/1,,0
40846,1648590,2015/5/1,,0
40846,81318715,2015/5/1,,0
57782,243771,2014/8/1,,0
69343,161461,2014/6/1,,1
70924,105935,2014/3/1,,1
70924,72985977,2014/3/1,,1
133901,1678408,2015/5/1,,1
133901,96509652,2015/5/1,,1
185056,218860,2014/8/1,,0
185056,12734302,2014/8/1,,0
185322,211804,2014/7/1,,0
185322,36184468,2014/7/1,,0
197062,1178495,2015/2/1,,0
214391,176458,2014/6/1,,0
267800,740887,2014/11/1,,1
267800,641841,2015/2/1,,1
267800,1208177,2015/2/1,,1
267800,1516380,2015/4/1,,1
267800,1516381,2015/4/1,,1
267800,1908803,2015/6/1,,1
267800,97983928,2015/4/1,,1
267800,78150128,2015/6/1,,1
267800,88421589,2015/2/1,,1
267800,90213766,2015/2/1,,1
274409,1006663,2015/1/1,,0
289123,400099,2014/8/1,,0
289123,79934911,2014/8/1,,0
310742,192271,2014/6/1,,1
310742,1496074,2015/4/1,,1
310742,1927309,2015/7/1,,1
310742,98522482,2015/4/1,,1
310742,97121279,2015/7/1,,1
310742,80317633,2014/6/1,,1
313604,911638,2014/12/1,2015/7/1,0
313604,1309948,2015/3/1,2015/7/1,0
318863,1150458,2015/1/1,2015/7/1,0
321196,1920188,2015/6/1,,0
321196,83519397,2015/6/1,,0
327066,212111,2014/7/1,,1
327066,35382850,2014/7/1,,1
334203,1490875,2015/4/1,,0
351926,261866,2014/8/1,,0
351926,80466882,2014/8/1,,0
357149,2038516,2015/7/1,,0
386935,944143,2014/12/1,,1
386935,92716291,2014/12/1,,1
433116,238413,2014/8/1,,1
433116,83557721,2014/8/1,,1
492995,195189,2014/6/1,,0
492995,79322292,2014/6/1,,0
501418,970803,2015/1/1,2015/7/1,0
9216,848046,2015/3/1,,1
9216,6610393,2015/3/1,,1
12255,1961579,2015/7/1,,1
12255,103014591,2015/7/1,,1
41037,3003,2013/10/1,,0
41037,54485,2014/1/1,,0
41037,32747045,2014/1/1,,0
104109,884730,2014/12/1,,0
104109,92772372,2014/12/1,,0
105978,2302095,2015/8/1,,1
105978,2302005,2015/8/1,,1
105978,102424714,2015/8/1,,1
106657,1268155,2015/3/1,2015/7/1,0
111848,1294115,2015/3/1,,0
111848,1395955,2015/4/1,,0
111848,97787477,2015/4/1,,0
111848,66084229,2015/3/1,,0
144404,1050462,2015/3/1,2015/7/1,0
200270,962998,2015/1/1,,1
200270,80057762,2015/1/1,,1
201148,219416,2014/8/1,,1
201148,11330216,2014/8/1,,1
241132,177905,2014/6/1,,0
313380,1118579,2015/1/1,,1
313380,93542860,2015/1/1,,1
320133,230721,2014/8/1,,1
320133,206292,2014/8/1,,1
320133,199896,2014/7/1,,1
320133,216335,2014/8/1,,1
320133,216337,2014/8/1,,1
320133,217624,2014/8/1,,1
320133,210791,2014/7/1,,1
320133,206296,2014/8/1,,1
320133,65848671,2014/8/1,,1
320133,43172814,2014/7/1,,1
320133,81701417,2014/8/1,,1
427701,734902,2014/11/1,,0
427701,81322937,2014/11/1,,0
427734,587485,2014/10/1,,0
427734,86795756,2014/10/1,,0
429630,1803433,2015/6/1,,0
429630,101355679,2015/6/1,,0
451115,583873,2014/10/1,,0
451115,85061523,2014/10/1,,0
493587,929119,2014/12/1,,0
493587,929180,2014/12/1,,0
493587,929238,2014/12/1,,0
493587,929265,2014/12/1,,0
493587,929159,2014/12/1,,0
493587,929171,2014/12/1,,0
493587,929237,2014/12/1,,0
493587,929247,2014/12/1,,0
493587,929253,2014/12/1,,0
493587,929137,2014/12/1,,0
493587,929149,2014/12/1,,0
493587,929125,2014/12/1,,0
493587,929164,2014/12/1,,0
493587,929132,2014/12/1,,0
493587,929143,2014/12/1,,0
493587,929258,2014/12/1,,0
493587,10154,2013/10/1,,0
493587,1582519,2015/5/1,,0
493587,61028271,2013/10/1,,0
493587,66070737,2014/12/1,,0
493587,66070743,2014/12/1,,0
493587,66070731,2014/12/1,,0
493587,66070746,2014/12/1,,0
493587,66070749,2014/12/1,,0
493587,66070740,2014/12/1,,0
493587,66070755,2014/12/1,,0
493587,66070734,2014/12/1,,0
493587,66070750,2014/12/1,,0
493587,93701852,2015/5/1,,0
493587,66070875,2014/12/1,,0
493587,66070781,2014/12/1,,0
493587,66070776,2014/12/1,,0
493587,66070768,2014/12/1,,0
493587,66070756,2014/12/1,,0
501267,188898,2014/6/1,2015/7/1,0
15074,538191,2014/10/1,2015/7/1,0
32532,171278,2014/6/1,,0
32532,27944069,2014/6/1,,0
39679,562903,2014/9/1,,1
42856,614887,2014/11/1,,1
42856,286555,2014/8/1,,1
42856,83465902,2014/11/1,,1
44906,2206563,2015/8/1,,1
44906,92706797,2015/8/1,,1
63680,965227,2015/1/1,,0
63680,1714666,2015/6/1,,0
63680,1714656,2015/6/1,,0
63680,1714676,2015/6/1,,0
63680,1714688,2015/6/1,,0
63680,1714672,2015/6/1,,0
63680,1714662,2015/6/1,,0
63680,92543295,2015/1/1,,0
63680,96491116,2015/6/1,,0
63680,96491114,2015/6/1,,0
63680,96506357,2015/6/1,,0
63680,97995156,2015/6/1,,0
63680,97995153,2015/6/1,,0
63680,97995140,2015/6/1,,0
92547,252360,2014/8/1,,1
92547,79626569,2014/8/1,,1
119119,11639,2013/10/1,,0
119119,1045488,2015/1/1,,0
119119,43523842,2013/10/1,,0
119119,65997267,2015/1/1,,0
216002,1885827,2015/6/1,,1
226865,2250058,2015/8/1,,0
240825,640333,2014/11/1,2015/7/1,0
249115,215344,2014/8/1,,0
249115,73366473,2014/8/1,,0
323782,903634,2014/12/1,,1
323782,66054969,2014/12/1,,1
357896,225970,2014/7/1,,0
357896,80122859,2014/7/1,,0
366007,1205771,2015/2/1,,0
366639,237616,2014/8/1,,1
366639,183439,2014/6/1,,1
366639,883678,2015/1/1,,1
366639,1182989,2015/2/1,,1
366639,96516338,2015/2/1,,1
366639,80081861,2014/8/1,,1
366639,91739876,2015/1/1,,1
373256,817377,2014/12/1,,1
373256,246947,2014/8/1,,1
373256,1216770,2015/2/1,,1
373256,1059322,2015/1/1,,1
373256,82168536,2014/12/1,,1
373256,91746941,2015/1/1,,1
373256,79627430,2014/8/1,,1
373256,91706298,2015/2/1,,1
375345,218222,2014/8/1,,0
375345,206564,2014/8/1,,0
376845,510385,2014/9/1,,1
376845,83560448,2014/9/1,,1
6758,1871016,2015/6/1,,0
6758,1871020,2015/6/1,,0
6758,90117394,2015/6/1,,0
21987,738757,2014/11/1,,0
21987,39301900,2014/11/1,,0
53098,1305789,2015/3/1,,0
62360,175041,2014/6/1,,0
62360,23977089,2014/6/1,,0
63205,1006643,2015/1/1,,0
63205,22974503,2015/1/1,,0
112695,2221001,2015/8/1,,0
112695,96622094,2015/8/1,,0
124641,1335655,2015/3/1,,1
240399,607790,2014/10/1,,0
240399,80135046,2014/10/1,,0
262713,2014185,2015/7/1,,0
262713,102688015,2015/7/1,,0
268453,220157,2014/8/1,,0
311286,1486974,2015/4/1,,0
311286,90844724,2015/4/1,,0
327414,17714,2013/10/1,,0
327414,66225063,2013/10/1,,0
353497,971793,2015/1/1,,1
353497,83479739,2015/1/1,,1
356969,1576720,2015/5/1,,0
356969,100469552,2015/5/1,,0
385253,378157,2014/8/1,,0
408645,2313360,2015/8/1,,1
433382,751995,2014/11/1,,1
433382,89095061,2014/11/1,,1
434047,1176670,2015/2/1,,1
434047,93815818,2015/2/1,,1
465370,1711487,2015/6/1,,0
476587,868185,2014/12/1,,1
476587,868181,2014/12/1,,1
476587,91743303,2014/12/1,,1
481746,10690,2013/10/1,,0
481746,66076356,2013/10/1,,0
482054,193483,2014/6/1,,1
482054,79942149,2014/6/1,,1
492308,1268512,2015/3/1,,0
497919,243766,2014/8/1,,0
497919,80295373,2014/8/1,,0
53693,571519,2014/10/1,,1
53693,377618,2014/8/1,,1
53693,272492,2014/8/1,,1
53693,171244,2014/6/1,,1
53693,140026,2014/5/1,,1
53693,1533021,2015/5/1,,1
53693,83569169,2014/8/1,,1
53693,87813243,2014/10/1,,1
53693,83513242,2015/5/1,,1
53693,81437382,2014/8/1,,1
53693,80349229,2014/6/1,,1
61990,1184518,2015/2/1,,0
61990,81120652,2015/2/1,,0
95530,1188624,2015/2/1,,0
114696,1804463,2015/6/1,,1
114696,96486267,2015/6/1,,1
121754,1247681,2015/3/1,,1
121754,1247683,2015/3/1,,1
121754,1484989,2015/4/1,,1
121754,1622007,2015/5/1,,1
121754,96524365,2015/4/1,,1
121754,96520933,2015/5/1,,1
157773,1495808,2015/4/1,,0
157773,99074757,2015/4/1,,0
168587,172449,2014/6/1,,1
168587,73384163,2014/6/1,,1
168679,1038622,2015/3/1,,0
168679,66008921,2015/3/1,,0
190290,8802,2013/10/1,,0
190290,41030103,2013/10/1,,0
190453,176422,2014/6/1,,0
190453,2017248,2015/7/1,,0
190453,103425176,2015/7/1,,0
197250,199712,2014/8/1,,1
197250,68743270,2014/8/1,,1
230838,1253230,2015/3/1,2015/7/1,0
239784,567850,2014/9/1,,0
239784,231755,2014/8/1,,0
239784,12420,2013/10/1,,0
239784,79328731,2014/9/1,,0
256216,1867851,2015/6/1,,0
256216,102932606,2015/6/1,,0
256951,827006,2014/12/1,,0
256951,33243726,2014/12/1,,0
294600,181945,2014/6/1,,0
320458,215028,2014/7/1,,0
320458,1612593,2015/5/1,,0
320458,62396053,2015/5/1,,0
320458,61210815,2014/7/1,,0
367312,171201,2014/6/1,,0
367312,11961,2013/10/1,,0
367312,35001263,2013/10/1,,0
367312,29914886,2014/6/1,,0
389722,1261836,2015/3/1,,0
389722,11898910,2015/3/1,,0
401547,218749,2014/8/1,,0
428775,171313,2014/6/1,,0
436318,1505165,2015/4/1,,0
436318,2326317,2015/8/1,,0
436318,2326328,2015/8/1,,0
436318,2326342,2015/8/1,,0
436318,2326321,2015/8/1,,0
436318,2326334,2015/8/1,,0
436318,2326306,2015/8/1,,0
436318,2326313,2015/8/1,,0
465229,1783166,2015/6/1,,1
465229,101820365,2015/6/1,,1
474981,1950130,2015/7/1,,1
479900,215830,2014/8/1,,1
479900,270214,2014/8/1,,1
479900,207367,2014/8/1,,1
479900,198270,2014/7/1,,1
479900,33922172,2014/8/1,,1
479900,73367072,2014/7/1,,1
524335,198274,2014/6/1,,0
34077,1237406,2015/3/1,,0
34077,91759489,2015/3/1,,0
90737,571531,2014/10/1,,0
105294,170347,2014/6/1,2015/7/1,0
107313,1636125,2015/5/1,,1
107313,100871109,2015/5/1,,1
133259,1580354,2015/5/1,,0
133259,93541997,2015/5/1,,0
205761,1182445,2015/2/1,,0
207911,1678373,2015/5/1,,0
207911,97004114,2015/5/1,,0
214080,840350,2014/12/1,,1
214080,840246,2014/12/1,,1
214080,91728521,2014/12/1,,1
214080,91728518,2014/12/1,,1
228056,242019,2014/8/1,,0
228056,80142940,2014/8/1,,0
242367,213851,2014/7/1,,1
242367,81439832,2014/7/1,,1
270142,2265446,2015/8/1,,0
270142,99635319,2015/8/1,,0
314745,929529,2014/12/1,,0
314745,929548,2014/12/1,,0
314745,66063051,2014/12/1,,0
314745,66062928,2014/12/1,,0
338062,871826,2014/12/1,,0
338062,1404543,2015/4/1,,0
338062,97982754,2015/4/1,,0
338062,91679539,2014/12/1,,0
346046,1631990,2015/5/1,,1
384923,2131711,2015/8/1,,0
385230,1814940,2015/6/1,,0
387790,781930,2014/12/1,,0
387790,1354863,2015/3/1,,0
387790,89087305,2014/12/1,,0
435542,1434353,2015/4/1,,0
435542,1434235,2015/4/1,,0
435542,1567990,2015/5/1,,0
435542,96508875,2015/4/1,,0
435542,83570332,2015/5/1,,0
487516,2013055,2015/7/1,,1
487516,102016859,2015/7/1,,1
493575,1190868,2015/2/1,,1
493575,96509148,2015/2/1,,1
20752,1485681,2015/4/1,,0
26517,312133,2014/8/1,,0
31043,1043624,2015/1/1,,1
31043,1043628,2015/1/1,,1
31043,1043626,2015/1/1,,1
31043,1043627,2015/1/1,,1
31043,1043338,2015/1/1,,1
31043,1043625,2015/1/1,,1
31043,1058325,2015/3/1,,1
31043,1056140,2015/3/1,,1
31043,65985339,2015/1/1,,1
31043,65993761,2015/3/1,,1
31043,65983819,2015/1/1,,1
31043,66007402,2015/3/1,,1
48025,1561412,2015/5/1,,0
48025,98904607,2015/5/1,,0
103731,10374,2013/10/1,,0
103731,60748694,2013/10/1,,0
115857,1126280,2015/1/1,2015/7/1,0
118720,2204426,2015/8/1,,0
118720,91756817,2015/8/1,,0
121299,754517,2014/11/1,,0
121299,85058578,2014/11/1,,0
189863,1585374,2015/5/1,,0
189863,79321853,2015/5/1,,0
216809,1171999,2015/2/1,,1
216809,91738706,2015/2/1,,1
219998,1744840,2015/6/1,,1
219998,101733643,2015/6/1,,1
225137,1510117,2015/4/1,,0
238964,2338353,2015/8/1,,0
271288,218725,2014/7/1,,0
271288,31832243,2014/7/1,,0
272516,976150,2015/1/1,,1
272516,85070732,2015/1/1,,1
275585,1980392,2015/7/1,,0
275585,93811726,2015/7/1,,0
319171,961989,2015/1/1,,0
345138,380269,2014/8/1,,0
345138,79522253,2014/8/1,,0
345670,1544600,2015/5/1,,1
346112,310487,2014/8/1,,0
346112,172536,2014/6/1,,0
346112,79640528,2014/6/1,,0
366480,2269250,2015/8/1,,0
385114,760997,2014/11/1,,1
385114,895484,2014/12/1,,1
385114,92557493,2014/12/1,,1
389781,1632259,2015/5/1,,1
389781,84915952,2015/5/1,,1
466922,936939,2014/12/1,,0
466922,14689804,2014/12/1,,0
494055,13428,2013/10/1,2015/7/1,1
500150,1390076,2015/4/1,,0
33746,1186816,2015/3/1,,1
33746,85061423,2015/3/1,,1
38709,773348,2014/12/1,,1
38709,773419,2014/12/1,,1
38709,773420,2014/12/1,,1
38709,773392,2014/12/1,,1
38709,1378899,2015/4/1,,1
38709,89111480,2014/12/1,,1
38709,98106477,2015/4/1,,1
38709,89097724,2014/12/1,,1
38709,89097721,2014/12/1,,1
40040,1287808,2015/3/1,,0
40040,95725503,2015/3/1,,0
63670,411834,2014/8/1,,0
63670,81385921,2014/8/1,,0
86269,1613567,2015/5/1,2015/7/1,0
88198,207321,2014/8/1,,0
88198,60056799,2014/8/1,,0
113324,1813237,2015/6/1,,0
132587,1038859,2015/3/1,,0
132587,66007013,2015/3/1,,0
133873,894063,2014/12/1,,0
159685,538031,2014/9/1,,1
159685,204259,2014/7/1,,1
159685,83489409,2014/9/1,,1
159685,73339016,2014/7/1,,1
179068,1377449,2015/4/1,,0
179068,84948130,2015/4/1,,0
196116,2298478,2015/8/1,,0
196116,2305142,2015/8/1,,0
196116,106054936,2015/8/1,,0
196116,103928010,2015/8/1,,0
204099,242515,2014/8/1,,0
204099,242497,2014/8/1,,0
204099,222346,2014/8/1,,0
204099,225715,2014/8/1,,0
204099,205770,2014/8/1,,0
204099,177112,2014/6/1,,0
204099,205830,2014/8/1,,0
204099,205774,2014/8/1,,0
204099,205873,2014/8/1,,0
204099,37494,2013/10/1,,0
204099,23652,2013/10/1,,0
204099,25757158,2014/8/1,,0
204099,17272902,2014/8/1,,0
204099,66389096,2013/10/1,,0
204099,25985251,2014/8/1,,0
204099,27363272,2014/6/1,,0
204099,26657557,2014/8/1,,0
204099,26492966,2014/8/1,,0
221731,607778,2014/10/1,,1
221731,607750,2014/10/1,,1
221731,19462401,2014/10/1,,1
221731,42402484,2014/10/1,,1
226663,182068,2014/6/1,,0
226663,43371550,2014/6/1,,0
232809,186006,2014/6/1,2015/7/1,0
246219,1202429,2015/2/1,,0
246219,1720724,2015/6/1,,0
250967,657602,2014/11/1,,1
250967,88438423,2014/11/1,,1
255110,1099938,2015/1/1,,0
267574,530005,2014/9/1,,1
267574,80344632,2014/9/1,,1
356946,1274980,2015/3/1,,0
356946,66039715,2015/3/1,,0
388841,1736439,2015/6/1,,0
388841,93699824,2015/6/1,,0
402045,936981,2014/12/1,,0
402045,936983,2014/12/1,,0
402045,936979,2014/12/1,,0
402045,1594136,2015/5/1,,0
402045,1594123,2015/5/1,,0
402045,93814241,2015/5/1,,0
402045,13923741,2014/12/1,,0
402045,13923804,2014/12/1,,0
402045,13923658,2014/12/1,,0
402045,97963149,2015/5/1,,0
510294,906642,2014/12/1,,0
510294,29261952,2014/12/1,,0
522904,1817787,2015/6/1,,0
522904,1817857,2015/6/1,,0
522904,1817749,2015/6/1,,0
522904,30515690,2015/6/1,,0
522904,30515924,2015/6/1,,0
522904,30516034,2015/6/1,,0
2618,110582,2014/3/1,,0
2618,1584461,2015/5/1,,0
2618,1800238,2015/6/1,,0
2618,1801313,2015/6/1,,0
2618,1800459,2015/6/1,,0
2618,1800630,2015/6/1,,0
2618,1800273,2015/6/1,,0
2618,1800184,2015/6/1,,0
2618,1801288,2015/6/1,,0
2618,1800448,2015/6/1,,0
2618,1800264,2015/6/1,,0
2618,1801272,2015/6/1,,0
2618,9675115,2014/3/1,,0
2618,28179071,2015/5/1,,0
2618,19044608,2015/6/1,,0
2618,19134476,2015/6/1,,0
2618,19043522,2015/6/1,,0
2618,19044120,2015/6/1,,0
2618,700661473,2015/6/1,,0
2618,22188246,2015/6/1,,0
2618,700661471,2015/6/1,,0
2618,700661472,2015/6/1,,0
2618,22690985,2015/6/1,,0
2618,22186626,2015/6/1,,0
2618,21246451,2015/6/1,,0
2618,21246114,2015/6/1,,0
2618,20843920,2015/6/1,,0
21361,929321,2014/12/1,,0
21361,66068366,2014/12/1,,0
26187,1665472,2015/5/1,,0
26187,101482732,2015/5/1,,0
42201,1488829,2015/4/1,,0
85526,2183563,2015/8/1,,0
106052,634281,2014/10/1,,1
106052,80290905,2014/10/1,,1
112669,1095962,2015/3/1,,0
112669,66051746,2015/3/1,,0
143878,236787,2014/8/1,,0
143878,183581,2014/6/1,,0
