EID,WZCODE,RECRNUM,RECDATE,TARGET
40409,ZP03,40.0,2015-08,0
41766,ZP03,1.0,2015-03,0
45597,ZP03,6.0,2015-05,0
46057,ZP03,25.0,2015-08,0
46057,ZP01,,2014-09,0
54074,ZP01,3.0,2015-08,1
54074,ZP03,,2014-10,1
55090,ZP03,16.0,2015-08,0
55161,ZP02,15.0,2015-08,0
57910,ZP02,26.0,2015-07,0
61053,ZP02,14.0,2015-08,0
61053,ZP03,9.0,2015-08,0
72677,ZP01,7.0,2015-07,0
72677,ZP02,1.0,2015-06,0
72677,ZP03,18.0,2015-08,0
74128,ZP03,20.0,2015-08,0
75851,ZP02,1.0,2015-03,0
78581,ZP03,26.0,2015-08,0
78581,ZP02,,2014-12,0
79247,ZP02,301.0,2015-08,0
79247,ZP03,6.0,2015-08,0
80297,ZP03,8.0,2015-05,0
80879,ZP02,34.0,2015-08,0
80879,ZP03,18.0,2015-04,0
81520,ZP02,2.0,2015-06,0
83817,ZP02,14.0,2015-08,1
83817,ZP03,13.0,2015-08,1
84165,ZP02,6.0,2015-06,0
84165,ZP03,2.0,2015-08,0
85259,ZP01,31.0,2015-08,0
85259,ZP02,91.0,2015-01,0
85803,ZP01,4.0,2015-08,0
85803,ZP02,64.0,2015-08,0
93515,ZP02,32.0,2015-08,0
94773,ZP02,22.0,2015-08,0
94948,ZP02,1.0,2015-04,0
97857,ZP02,114.0,2015-08,0
97870,ZP02,26.0,2015-08,0
97870,ZP03,,2014-12,0
97870,ZP01,,2014-12,0
102929,ZP03,5.0,2015-08,0
104340,ZP02,7.0,2015-07,0
104340,ZP03,6.0,2015-03,0
105062,ZP02,2.0,2015-08,0
105912,ZP02,19.0,2015-07,0
106149,ZP02,4.0,2015-03,0
106149,ZP01,,2014-09,0
106149,ZP03,,2014-10,0
106892,ZP01,97.0,2015-08,0
106892,ZP03,,2014-09,0
109834,ZP02,4.0,2015-01,0
109834,ZP01,,2014-11,0
112219,ZP02,11.0,2015-08,0
113047,ZP03,11.0,2015-05,0
115163,ZP02,17.0,2015-08,0
115163,ZP01,,2014-11,0
115330,ZP02,2.0,2015-08,0
119453,ZP01,18.0,2015-06,0
120870,ZP03,15.0,2015-08,0
123811,ZP02,27.0,2015-08,0
124831,ZP02,62.0,2015-08,1
124831,ZP01,,2014-12,1
126002,ZP02,9.0,2015-08,0
126372,ZP03,23.0,2015-08,0
126753,ZP02,26.0,2015-08,0
126753,ZP03,,2014-11,0
128545,ZP02,17.0,2015-08,0
128752,ZP02,13.0,2015-08,0
129622,ZP03,4.0,2015-04,0
130421,ZP02,4.0,2015-08,0
131395,ZP02,5.0,2015-08,0
133723,ZP02,18.0,2015-08,0
138763,ZP01,2.0,2015-01,0
138763,ZP03,11.0,2015-08,0
138763,ZP02,,2014-11,0
139119,ZP02,1.0,2015-07,0
139607,ZP02,5.0,2015-04,0
139607,ZP03,2.0,2015-03,0
139994,ZP03,1.0,2015-07,0
140234,ZP01,11.0,2015-05,0
140234,ZP02,37.0,2015-08,0
140234,ZP03,17.0,2015-08,0
140892,ZP02,90.0,2015-07,0
140892,ZP03,46.0,2015-08,0
141750,ZP02,19.0,2015-08,0
144251,ZP01,11.0,2015-05,0
144251,ZP02,36.0,2015-08,0
144251,ZP03,18.0,2015-08,0
147421,ZP02,4.0,2015-08,0
149853,ZP01,12.0,2015-06,0
149853,ZP02,29.0,2015-08,0
149853,ZP03,23.0,2015-08,0
152482,ZP02,98.0,2015-08,1
152482,ZP03,9.0,2015-06,1
152692,ZP01,9.0,2015-08,0
152692,ZP02,42.0,2015-08,0
154205,ZP03,5.0,2015-07,0
156374,ZP02,8.0,2015-08,0
157165,ZP02,4.0,2015-07,0
161136,ZP03,20.0,2015-07,0
162174,ZP02,3.0,2015-05,0
163980,ZP03,2.0,2015-07,0
164552,ZP03,1.0,2015-04,0
164621,ZP02,12.0,2015-05,0
164621,ZP01,,2014-12,0
166966,ZP02,5.0,2015-08,1
167153,ZP02,10.0,2015-08,1
171399,ZP02,16.0,2015-03,0
171399,ZP03,25.0,2015-08,0
172627,ZP03,37.0,2015-05,1
172900,ZP02,8.0,2015-08,0
173872,ZP02,2.0,2015-07,0
173872,ZP03,1.0,2015-08,0
174235,ZP03,2.0,2015-08,0
175781,ZP03,9.0,2015-06,0
176101,ZP03,25.0,2015-08,0
177194,ZP02,21.0,2015-08,0
179178,ZP02,22.0,2015-08,1
182111,ZP02,30.0,2015-08,0
182111,ZP03,,2014-10,0
182111,ZP01,,2014-11,0
185306,ZP02,3.0,2015-07,0
187530,ZP02,13.0,2015-08,0
187530,ZP03,8.0,2015-08,0
187530,ZP01,,2014-10,0
187835,ZP02,45.0,2015-08,0
187835,ZP03,25.0,2015-06,0
189718,ZP02,5.0,2015-08,0
191401,ZP02,32.0,2015-01,0
193838,ZP02,9.0,2015-03,0
194115,ZP01,2.0,2015-01,0
194115,ZP02,9.0,2015-07,0
194115,ZP03,,2014-11,0
195140,ZP03,6.0,2015-07,1
200114,ZP02,228.0,2015-06,0
200114,ZP03,25.0,2015-08,0
200898,ZP02,1.0,2015-03,0
201955,ZP02,27.0,2015-08,0
201955,ZP03,119.0,2015-06,0
202669,ZP01,3.0,2015-08,0
202669,ZP02,424.0,2015-08,0
204126,ZP01,4.0,2015-08,0
204126,ZP02,10.0,2015-08,0
204126,ZP03,7.0,2015-08,0
207775,ZP02,30.0,2015-08,0
207775,ZP03,16.0,2015-01,0
209073,ZP03,3.0,2015-05,0
209856,ZP02,12.0,2015-02,0
209908,ZP01,81.0,2015-08,0
209908,ZP02,127.0,2015-08,0
209908,ZP03,51.0,2015-08,0
212901,ZP02,4.0,2015-05,0
213036,ZP02,4.0,2015-08,0
213603,ZP02,4.0,2015-08,0
214999,ZP01,6.0,2015-02,0
214999,ZP02,167.0,2015-08,0
214999,ZP03,53.0,2015-08,0
219084,ZP03,1.0,2015-08,0
223656,ZP03,6.0,2015-01,0
224047,ZP02,28.0,2015-08,0
224791,ZP02,2.0,2015-04,0
224791,ZP03,,2014-09,0
224791,ZP01,,2014-09,0
225464,ZP01,5.0,2015-05,0
225464,ZP03,35.0,2015-08,0
226757,ZP02,46.0,2015-08,0
227871,ZP02,133.0,2015-08,0
227871,ZP03,37.0,2015-08,0
230136,ZP01,6.0,2015-05,0
230136,ZP02,21.0,2015-08,0
230136,ZP03,,2014-10,0
230491,ZP01,2.0,2015-08,1
230491,ZP02,48.0,2015-08,1
231519,ZP02,2.0,2015-03,0
232335,ZP02,3.0,2015-05,1
232400,ZP03,8.0,2015-08,1
233841,ZP02,80.0,2015-08,0
233841,ZP03,52.0,2015-08,0
233841,ZP01,,2014-10,0
233938,ZP02,6.0,2015-07,0
234382,ZP02,1.0,2015-04,0
234576,ZP02,26.0,2015-08,0
235325,ZP02,3.0,2015-07,0
235325,ZP03,4.0,2015-08,0
240555,ZP02,96.0,2015-03,1
240555,ZP03,,2014-09,1
242218,ZP03,6.0,2015-08,0
242257,ZP02,4.0,2015-08,0
243006,ZP03,4.0,2015-08,0
243121,ZP02,2.0,2015-05,0
243454,ZP03,10.0,2015-07,0
243454,ZP02,,2014-09,0
247336,ZP03,17.0,2015-08,0
255503,ZP02,5.0,2015-08,1
255801,ZP03,11.0,2015-08,0
257671,ZP02,14.0,2015-07,0
258585,ZP02,24.0,2015-08,0
258585,ZP03,28.0,2015-08,0
260002,ZP02,1.0,2015-04,0
262345,ZP02,67.0,2015-08,0
262345,ZP03,21.0,2015-08,0
263099,ZP01,5.0,2015-08,0
263099,ZP02,47.0,2015-08,0
263099,ZP03,42.0,2015-08,0
263358,ZP01,3.0,2015-07,0
263358,ZP02,15.0,2015-08,0
263358,ZP03,2.0,2015-01,0
264539,ZP03,8.0,2015-08,0
265018,ZP02,94.0,2015-08,0
265018,ZP03,12.0,2015-01,0
267409,ZP03,3.0,2015-08,0
267809,ZP02,33.0,2015-05,1
268577,ZP02,5.0,2015-08,0
268577,ZP01,,2014-10,0
268734,ZP02,1.0,2015-06,0
269797,ZP02,41.0,2015-08,0
270243,ZP02,11.0,2015-08,0
270547,ZP02,1.0,2015-08,0
272429,ZP02,11.0,2015-08,0
272429,ZP01,,2014-10,0
273861,ZP03,51.0,2015-08,0
276671,ZP02,21.0,2015-08,0
276691,ZP03,8.0,2015-08,1
277003,ZP02,1.0,2015-07,0
278345,ZP01,10.0,2015-08,0
278345,ZP02,,2014-09,0
281195,ZP03,27.0,2015-08,0
282218,ZP01,32.0,2015-08,0
282218,ZP02,59.0,2015-08,0
282218,ZP03,52.0,2015-08,0
283548,ZP02,123.0,2015-08,0
283548,ZP03,86.0,2015-08,0
284157,ZP02,11.0,2015-05,0
284157,ZP03,,2014-12,0
287240,ZP03,4.0,2015-03,1
287251,ZP02,30.0,2015-08,0
288147,ZP01,5.0,2015-08,0
288147,ZP02,41.0,2015-08,0
288243,ZP02,4.0,2015-07,0
288387,ZP02,26.0,2015-08,0
288387,ZP03,9.0,2015-03,0
288815,ZP01,37.0,2015-08,1
288815,ZP02,97.0,2015-08,1
289102,ZP02,10.0,2015-08,0
289102,ZP03,6.0,2015-08,0
290111,ZP01,3.0,2015-02,0
290111,ZP02,9.0,2015-04,0
292677,ZP02,24.0,2015-08,0
292677,ZP03,,2014-09,0
299064,ZP03,7.0,2015-06,0
299199,ZP01,3.0,2015-08,0
299199,ZP02,2.0,2015-05,0
301326,ZP01,12.0,2015-08,0
301326,ZP02,2.0,2015-04,0
305477,ZP02,11.0,2015-06,0
305477,ZP03,,2014-10,0
311521,ZP02,14.0,2015-07,0
311521,ZP03,8.0,2015-08,0
312464,ZP03,23.0,2015-08,0
313993,ZP02,73.0,2015-08,0
313993,ZP03,10.0,2015-08,0
314297,ZP02,30.0,2015-08,0
314297,ZP03,,2014-09,0
314774,ZP02,2.0,2015-04,0
314774,ZP03,,2014-12,0
315681,ZP02,32.0,2015-08,0
316446,ZP02,2.0,2015-05,1
320986,ZP01,1.0,2015-08,0
320986,ZP02,1.0,2015-05,0
322184,ZP02,25.0,2015-08,0
322184,ZP01,,2014-10,0
322760,ZP02,13.0,2015-04,0
323842,ZP02,13.0,2015-08,0
325124,ZP02,3.0,2015-08,0
325124,ZP03,40.0,2015-08,0
325764,ZP03,6.0,2015-08,0
326024,ZP02,16.0,2015-08,0
326024,ZP03,7.0,2015-08,0
329571,ZP03,1.0,2015-07,0
329571,ZP01,,2014-12,0
329571,ZP02,,2014-11,0
331458,ZP01,8.0,2015-08,0
331458,ZP02,22.0,2015-08,0
332954,ZP03,6.0,2015-03,0
333179,ZP02,302.0,2015-08,0
333179,ZP03,10.0,2015-08,0
336040,ZP03,17.0,2015-08,0
337286,ZP02,2.0,2015-02,0
338584,ZP02,3.0,2015-02,0
340723,ZP02,3.0,2015-07,0
340889,ZP02,3.0,2015-04,0
340889,ZP03,3.0,2015-03,0
342374,ZP03,2.0,2015-04,0
342938,ZP02,11.0,2015-08,0
344423,ZP02,2.0,2015-08,0
346445,ZP02,3.0,2015-08,0
346952,ZP02,4.0,2015-07,0
346952,ZP03,,2014-11,0
347711,ZP02,2.0,2015-05,0
349494,ZP02,20.0,2015-07,0
349494,ZP03,12.0,2015-08,0
351184,ZP03,7.0,2015-07,0
351184,ZP02,,2014-11,0
353175,ZP02,4.0,2015-07,0
353175,ZP03,3.0,2015-05,0
353410,ZP02,6.0,2015-08,0
353509,ZP02,1.0,2015-07,0
355408,ZP02,1.0,2015-08,0
355567,ZP02,2.0,2015-07,0
355567,ZP03,4.0,2015-08,0
356225,ZP01,2.0,2015-01,0
358721,ZP02,4.0,2015-05,0
358721,ZP03,15.0,2015-06,0
360824,ZP02,26.0,2015-08,0
360824,ZP03,14.0,2015-08,0
364665,ZP02,30.0,2015-08,0
364665,ZP03,11.0,2015-03,0
364750,ZP03,4.0,2015-08,0
365840,ZP02,12.0,2015-08,0
365884,ZP02,10.0,2015-08,0
367778,ZP01,15.0,2015-08,0
367778,ZP02,164.0,2015-08,0
367778,ZP03,78.0,2015-08,0
368758,ZP03,8.0,2015-08,0
368758,ZP01,,2014-10,0
373351,ZP03,2.0,2015-05,0
374215,ZP01,172.0,2015-08,0
374215,ZP02,253.0,2015-08,0
374215,ZP03,164.0,2015-08,0
375724,ZP02,4.0,2015-08,0
375724,ZP03,1.0,2015-01,0
376045,ZP03,17.0,2015-08,0
377802,ZP01,3.0,2015-08,0
377802,ZP03,17.0,2015-08,0
380129,ZP01,4.0,2015-08,0
380129,ZP02,21.0,2015-08,0
380129,ZP03,14.0,2015-08,0
380497,ZP03,49.0,2015-08,0
383070,ZP01,5.0,2015-06,0
383070,ZP03,35.0,2015-05,0
384869,ZP02,19.0,2015-08,0
384869,ZP01,,2014-12,0
390222,ZP02,2.0,2015-05,0
390222,ZP03,3.0,2015-05,0
393203,ZP02,21.0,2015-08,0
393203,ZP03,1.0,2015-08,0
394329,ZP03,4.0,2015-08,0
394446,ZP02,5.0,2015-08,0
396823,ZP02,6.0,2015-06,0
397140,ZP02,2.0,2015-04,0
398483,ZP02,8.0,2015-08,1
398483,ZP03,8.0,2015-08,1
401332,ZP02,2.0,2015-05,0
402394,ZP02,10.0,2015-04,0
403677,ZP02,6.0,2015-07,0
403677,ZP03,,2014-09,0
404706,ZP03,7.0,2015-03,0
405547,ZP02,80.0,2015-08,0
405547,ZP03,45.0,2015-08,0
405547,ZP01,,2014-10,0
405961,ZP03,5.0,2015-01,0
413836,ZP02,140.0,2015-08,0
413836,ZP03,29.0,2015-08,0
413836,ZP01,,2014-09,0
415866,ZP03,1.0,2015-03,0
416415,ZP01,1.0,2015-05,0
416415,ZP02,221.0,2015-08,0
416415,ZP03,391.0,2015-08,0
417135,ZP02,17.0,2015-08,0
417135,ZP03,,2014-10,0
417465,ZP02,42.0,2015-08,0
417825,ZP02,26.0,2015-08,0
417825,ZP03,18.0,2015-08,0
420081,ZP02,2.0,2015-08,0
421024,ZP02,29.0,2015-08,0
421024,ZP01,,2014-09,0
421024,ZP03,,2014-09,0
421813,ZP01,10.0,2015-08,0
421813,ZP03,,2014-12,0
421983,ZP02,1.0,2015-03,0
423834,ZP02,41.0,2015-06,1
423834,ZP03,12.0,2015-06,1
424660,ZP02,10.0,2015-08,0
424660,ZP03,2.0,2015-07,0
424660,ZP01,,2014-11,0
424887,ZP02,256.0,2015-08,0
424887,ZP03,272.0,2015-08,0
425027,ZP03,6.0,2015-08,0
425170,ZP02,23.0,2015-06,0
425170,ZP03,5.0,2015-03,0
426854,ZP03,3.0,2015-08,0
432675,ZP02,49.0,2015-08,0
433157,ZP03,5.0,2015-08,0
434886,ZP03,8.0,2015-07,0
435081,ZP01,7.0,2015-08,0
435255,ZP02,46.0,2015-06,0
435255,ZP03,14.0,2015-05,0
436072,ZP02,7.0,2015-07,0
436546,ZP02,53.0,2015-08,0
437570,ZP01,83.0,2015-08,0
437570,ZP02,58.0,2015-08,0
437570,ZP03,31.0,2015-08,0
439832,ZP02,4.0,2015-05,0
439832,ZP03,10.0,2015-08,0
439832,ZP01,,2014-11,0
441596,ZP02,8.0,2015-08,0
443839,ZP02,6.0,2015-06,0
443839,ZP03,7.0,2015-03,0
445215,ZP01,8.0,2015-03,0
447999,ZP03,9.0,2015-05,0
448089,ZP02,49.0,2015-08,0
448223,ZP03,6.0,2015-08,0
449143,ZP02,51.0,2015-07,1
455602,ZP03,29.0,2015-08,0
455710,ZP03,3.0,2015-08,0
455710,ZP02,,2014-10,0
456624,ZP02,2.0,2015-05,0
457796,ZP03,2.0,2015-05,0
459104,ZP02,12.0,2015-08,0
459718,ZP03,20.0,2015-06,0
460196,ZP03,16.0,2015-07,0
460839,ZP01,5.0,2015-05,0
460839,ZP03,15.0,2015-06,0
461095,ZP03,21.0,2015-08,0
462443,ZP01,2.0,2015-08,0
462443,ZP02,94.0,2015-08,0
462607,ZP02,9.0,2015-01,0
462607,ZP03,10.0,2015-04,0
465151,ZP02,6.0,2015-08,0
465955,ZP03,5.0,2015-06,0
466665,ZP01,3.0,2015-07,0
466908,ZP01,1.0,2015-01,0
466908,ZP02,60.0,2015-08,0
466908,ZP03,,2014-11,0
468004,ZP02,1.0,2015-07,0
468512,ZP02,27.0,2015-08,0
470497,ZP02,93.0,2015-08,0
470497,ZP03,84.0,2015-08,0
472751,ZP01,6.0,2015-08,0
472751,ZP03,20.0,2015-08,0
474182,ZP02,12.0,2015-07,0
474182,ZP03,,2014-09,0
475031,ZP02,52.0,2015-08,0
477424,ZP02,1.0,2015-03,0
477446,ZP02,30.0,2015-08,0
479617,ZP03,21.0,2015-08,0
479887,ZP01,19.0,2015-08,0
479887,ZP02,11.0,2015-02,0
479887,ZP03,39.0,2015-08,0
479983,ZP02,7.0,2015-08,0
479983,ZP03,6.0,2015-03,0
483444,ZP01,13.0,2015-04,0
483444,ZP02,28.0,2015-08,0
483618,ZP01,5.0,2015-06,0
483618,ZP02,17.0,2015-05,0
483618,ZP03,,2014-09,0
485442,ZP02,138.0,2015-08,0
485442,ZP03,28.0,2015-08,0
488765,ZP02,13.0,2015-08,0
488960,ZP02,156.0,2015-08,1
488960,ZP03,40.0,2015-08,1
488960,ZP01,,2014-12,1
489104,ZP01,1.0,2015-01,0
489104,ZP02,,2014-09,0
489292,ZP02,7.0,2015-07,0
489292,ZP03,28.0,2015-08,0
491904,ZP03,2.0,2015-08,0
500566,ZP02,174.0,2015-08,0
500566,ZP01,,2014-10,0
500860,ZP02,31.0,2015-08,0
500860,ZP03,16.0,2015-08,0
505052,ZP02,8.0,2015-08,0
505052,ZP03,,2014-09,0
505442,ZP03,5.0,2015-08,0
506496,ZP02,3.0,2015-04,0
506624,ZP01,13.0,2015-05,0
506624,ZP03,1.0,2015-06,0
507779,ZP01,1.0,2015-05,0
507779,ZP02,67.0,2015-08,0
511730,ZP03,2.0,2015-01,0
513178,ZP02,11.0,2015-08,0
513428,ZP03,109.0,2015-08,0
513910,ZP02,6.0,2015-06,0
514034,ZP01,5.0,2015-02,0
514034,ZP02,41.0,2015-01,0
514034,ZP03,25.0,2015-01,0
514115,ZP03,3.0,2015-08,0
514143,ZP03,7.0,2015-07,0
514288,ZP02,6.0,2015-08,0
517253,ZP02,2.0,2015-06,0
517762,ZP01,8.0,2015-08,1
517762,ZP02,13.0,2015-08,1
518382,ZP02,8.0,2015-08,0
518382,ZP03,8.0,2015-08,0
519058,ZP02,16.0,2015-08,0
519058,ZP03,22.0,2015-02,0
519058,ZP01,,2014-10,0
177,ZP02,2.0,2015-04,0
411,ZP03,2.0,2015-04,0
2509,ZP02,31.0,2015-08,0
5687,ZP02,60.0,2015-07,1
5723,ZP02,17.0,2015-08,0
5723,ZP03,,2014-10,0
10683,ZP03,13.0,2015-08,0
12126,ZP03,3.0,2015-08,0
12391,ZP01,3.0,2015-01,0
12391,ZP02,84.0,2015-08,0
12391,ZP03,33.0,2015-07,0
13012,ZP03,11.0,2015-08,0
15627,ZP02,9.0,2015-05,0
15627,ZP03,13.0,2015-08,0
16818,ZP01,5.0,2015-02,0
17174,ZP02,2.0,2015-06,1
19395,ZP01,21.0,2015-08,0
19395,ZP02,19.0,2015-07,0
19930,ZP02,166.0,2015-08,0
19930,ZP03,15.0,2015-07,0
28537,ZP02,10.0,2015-06,0
28537,ZP03,8.0,2015-06,0
29361,ZP01,20.0,2015-08,0
29361,ZP02,48.0,2015-08,0
29361,ZP03,1.0,2015-05,0
30633,ZP02,5.0,2015-08,0
32406,ZP03,3.0,2015-06,0
32406,ZP01,,2014-12,0
35890,ZP02,16.0,2015-03,0
37755,ZP02,4.0,2015-05,1
38726,ZP02,3.0,2015-08,0
38726,ZP03,1.0,2015-08,0
48188,ZP02,5.0,2015-06,0
49073,ZP02,39.0,2015-08,0
50627,ZP02,23.0,2015-08,0
52987,ZP02,50.0,2015-08,1
52987,ZP01,,2014-11,1
53813,ZP02,23.0,2015-08,0
54035,ZP02,8.0,2015-04,1
55266,ZP02,14.0,2015-08,0
58222,ZP01,38.0,2015-08,0
58222,ZP02,59.0,2015-08,0
58222,ZP03,63.0,2015-08,0
58427,ZP02,9.0,2015-08,0
58938,ZP01,3.0,2015-06,0
58938,ZP02,25.0,2015-08,0
59526,ZP03,17.0,2015-08,0
60239,ZP01,5.0,2015-08,0
60239,ZP02,439.0,2015-08,0
60239,ZP03,182.0,2015-08,0
61349,ZP02,10.0,2015-08,0
61349,ZP03,,2014-09,0
63975,ZP02,12.0,2015-07,0
64545,ZP03,1.0,2015-04,0
65252,ZP02,1.0,2015-05,0
65252,ZP03,1.0,2015-06,0
66550,ZP01,4.0,2015-05,0
66550,ZP02,35.0,2015-07,0
66550,ZP03,36.0,2015-07,0
67484,ZP03,77.0,2015-08,0
69284,ZP03,1.0,2015-07,0
69836,ZP03,3.0,2015-03,0
71082,ZP03,16.0,2015-08,0
71920,ZP02,10.0,2015-08,0
74117,ZP03,6.0,2015-06,0
75589,ZP02,7.0,2015-08,0
75589,ZP03,10.0,2015-08,0
75641,ZP02,1.0,2015-08,0
75711,ZP03,1.0,2015-03,0
75732,ZP03,15.0,2015-01,1
75787,ZP01,2.0,2015-08,0
75787,ZP02,72.0,2015-08,0
75787,ZP03,12.0,2015-08,0
76140,ZP02,8.0,2015-04,1
77364,ZP02,19.0,2015-07,0
77364,ZP03,2.0,2015-04,0
77386,ZP03,11.0,2015-08,0
77543,ZP02,1.0,2015-08,0
78186,ZP03,1.0,2015-03,0
78193,ZP03,10.0,2015-05,0
78379,ZP02,33.0,2015-08,0
78379,ZP03,6.0,2015-04,0
78385,ZP01,13.0,2015-08,0
79463,ZP01,18.0,2015-06,0
79463,ZP02,32.0,2015-08,0
79761,ZP01,92.0,2015-08,0
79761,ZP02,127.0,2015-06,0
79761,ZP03,32.0,2015-07,0
80905,ZP02,14.0,2015-08,0
80905,ZP03,19.0,2015-05,0
82365,ZP03,7.0,2015-08,1
85781,ZP02,28.0,2015-08,1
86536,ZP02,41.0,2015-08,0
88076,ZP02,7.0,2015-08,0
88130,ZP02,80.0,2015-08,0
88130,ZP03,1.0,2015-01,0
89593,ZP03,20.0,2015-08,0
89593,ZP01,,2014-10,0
90075,ZP02,25.0,2015-08,0
97761,ZP01,8.0,2015-05,0
98417,ZP02,2.0,2015-01,0
99624,ZP02,7.0,2015-08,0
100185,ZP02,92.0,2015-08,0
100185,ZP03,16.0,2015-08,0
101212,ZP01,20.0,2015-08,0
101212,ZP03,5.0,2015-08,0
101212,ZP02,,2014-11,0
103349,ZP01,2.0,2015-08,0
103349,ZP02,46.0,2015-08,0
103349,ZP03,3.0,2015-08,0
103524,ZP03,6.0,2015-08,0
104660,ZP01,1.0,2015-03,0
104660,ZP03,2.0,2015-08,0
104660,ZP02,,2014-09,0
104736,ZP03,8.0,2015-05,0
105632,ZP01,12.0,2015-05,0
105632,ZP03,,2014-10,0
105739,ZP02,2.0,2015-08,0
106478,ZP02,4.0,2015-05,0
106478,ZP03,6.0,2015-08,0
108162,ZP02,9.0,2015-06,1
108162,ZP01,,2014-10,1
108982,ZP03,5.0,2015-06,1
109435,ZP02,4.0,2015-08,0
111043,ZP01,1.0,2015-04,0
111043,ZP03,12.0,2015-08,0
111430,ZP02,4.0,2015-08,0
114808,ZP03,4.0,2015-08,0
116797,ZP02,8.0,2015-05,0
116984,ZP02,2.0,2015-07,0
116984,ZP03,2.0,2015-06,0
120520,ZP03,2.0,2015-04,1
121465,ZP02,12.0,2015-06,0
122773,ZP01,5.0,2015-07,1
123218,ZP03,1.0,2015-07,0
124069,ZP02,44.0,2015-08,0
124800,ZP02,49.0,2015-08,0
124800,ZP03,36.0,2015-08,0
125258,ZP02,4.0,2015-01,0
126490,ZP02,4.0,2015-08,0
126689,ZP03,1.0,2015-04,0
128629,ZP03,2.0,2015-07,0
130180,ZP02,42.0,2015-08,0
130180,ZP03,4.0,2015-03,0
130180,ZP01,,2014-12,0
130896,ZP02,12.0,2015-08,0
130896,ZP03,17.0,2015-07,0
136367,ZP02,7.0,2015-08,0
138224,ZP03,6.0,2015-07,1
138682,ZP02,6.0,2015-07,0
138682,ZP03,2.0,2015-08,0
139465,ZP03,7.0,2015-08,0
139849,ZP01,1.0,2015-01,0
139849,ZP02,49.0,2015-08,0
139849,ZP03,24.0,2015-08,0
142025,ZP03,3.0,2015-08,0
142936,ZP03,2.0,2015-08,0
143221,ZP03,6.0,2015-08,0
143639,ZP02,42.0,2015-08,0
143639,ZP03,18.0,2015-08,0
143985,ZP02,2.0,2015-07,0
144719,ZP02,39.0,2015-08,0
144719,ZP03,12.0,2015-01,0
145743,ZP03,2.0,2015-05,0
146268,ZP03,3.0,2015-08,0
146880,ZP02,53.0,2015-08,0
146880,ZP03,62.0,2015-08,0
149077,ZP03,4.0,2015-08,0
149812,ZP03,2.0,2015-08,0
149812,ZP02,,2014-12,0
149945,ZP03,7.0,2015-08,0
149958,ZP02,16.0,2015-08,0
149958,ZP03,7.0,2015-06,0
149958,ZP01,,2014-09,0
151101,ZP02,18.0,2015-08,0
151101,ZP03,17.0,2015-07,0
154017,ZP02,20.0,2015-08,0
154017,ZP03,1.0,2015-05,0
154196,ZP02,9.0,2015-02,1
156820,ZP02,5.0,2015-08,0
156820,ZP03,1.0,2015-08,0
156938,ZP03,28.0,2015-08,0
156938,ZP01,,2014-10,0
157609,ZP02,31.0,2015-08,0
157609,ZP03,44.0,2015-08,0
159591,ZP01,18.0,2015-08,0
159591,ZP02,115.0,2015-04,0
159591,ZP03,11.0,2015-08,0
159902,ZP02,7.0,2015-07,0
160460,ZP02,22.0,2015-08,0
160460,ZP03,6.0,2015-08,0
160984,ZP02,2.0,2015-04,0
163143,ZP02,31.0,2015-05,1
164093,ZP03,2.0,2015-07,0
