EID,TYPECODE,DJDATE,IFHOME,TARGET
18078,4693198,2014-11,0,0
18078,4902668,2015-01,1,0
18078,5296273,2015-05,0,0
18078,4811240,2014-12,0,0
18078,4863619,2014-12,0,0
18078,4867952,2014-12,0,0
18078,4803093,2014-12,0,0
18078,4404503,2014-07,1,0
18078,4104873,2014-04,1,0
18078,4388934,2014-07,1,0
18078,4050252,2014-03,0,0
18078,4707094,2014-11,1,0
18078,5493097,2015-07,0,0
18078,4997814,2015-02,1,0
18078,4481243,2014-08,1,0
18078,4647995,2014-10,1,0
18078,4404311,2014-07,1,0
18078,4857750,2014-12,1,0
18078,4657685,2014-10,0,0
18078,4746477,2014-11,1,0
18078,4985477,2015-02,1,0
18078,5516134,2015-07,0,0
18078,5154094,2015-04,1,0
18078,4433301,2014-08,0,0
18078,4819689,2014-12,0,0
18078,4056351,2014-03,0,0
18078,4655032,2014-10,1,0
18078,5194508,2015-04,1,0
18078,5505018,2015-07,1,0
18078,5368556,2015-06,1,0
18078,5222299,2015-04,0,0
18078,5009685,2015-02,1,0
18078,4532714,2014-09,1,0
18078,5393141,2015-06,0,0
18078,5527252,2015-07,1,0
18078,3986116,2014-01,0,0
18078,4186949,2014-05,0,0
18078,5189839,2015-04,0,0
18078,4166877,2014-05,0,0
18078,5522430,2015-07,1,0
18078,4339446,2014-07,0,0
18078,4331918,2014-07,1,0
18078,5080809,2015-03,1,0
18078,4511996,2014-09,1,0
18078,5498391,2015-07,0,0
18078,4007780,2014-01,1,0
18078,5123254,2015-03,1,0
18078,4860436,2014-12,1,0
18078,4170558,2014-05,0,0
18078,4649371,2014-10,1,0
18078,4524325,2014-09,0,0
18078,5593025,2015-07,0,0
18078,4708935,2014-11,1,0
18078,5435223,2015-06,0,0
18078,4249112,2014-06,1,0
18078,5444209,2015-06,0,0
18078,4393262,2014-07,1,0
18078,4857836,2014-12,0,0
18078,5444889,2015-06,1,0
18078,5066326,2015-03,1,0
18078,4403790,2014-07,0,0
18078,4444490,2014-08,0,0
18078,4858253,2014-12,1,0
18078,3990036,2014-01,1,0
18078,4583185,2014-09,0,0
18078,5468326,2015-06,1,0
18078,5601532,2015-07,1,0
18078,4754721,2014-11,1,0
18078,4000619,2014-01,0,0
18078,5492872,2015-07,0,0
18078,5250639,2015-04,0,0
18078,5542031,2015-07,1,0
18078,4230186,2014-06,1,0
18078,5259263,2015-05,1,0
18078,4153911,2014-05,0,0
18078,4879799,2014-12,1,0
18078,3979242,2014-01,0,0
18078,5607503,2015-07,0,0
18078,4310347,2014-07,1,0
18078,4302349,2014-07,1,0
18078,4188937,2014-05,1,0
18078,4031976,2014-02,0,0
18078,4570603,2014-09,0,0
18078,5041222,2015-03,1,0
18078,5045714,2015-03,1,0
18078,3996334,2014-01,1,0
18078,4625331,2014-10,0,0
18078,5609606,2015-07,1,0
18078,5589539,2015-07,1,0
18078,3984991,2014-01,0,0
18078,4069520,2014-03,1,0
18078,5045713,2015-03,1,0
18078,5446048,2015-06,1,0
18078,5263273,2015-05,1,0
18078,4297445,2014-06,0,0
18078,5365159,2015-06,1,0
18078,5104754,2015-03,1,0
18078,5045717,2015-03,1,0
18078,4787327,2014-11,1,0
18078,4879706,2014-12,1,0
18078,5160422,2015-04,0,0
18078,5468545,2015-06,1,0
18078,5045715,2015-03,1,0
18078,4069334,2014-03,1,0
18078,4211990,2014-05,0,0
18078,4307620,2014-07,0,0
18078,4760264,2014-11,1,0
18078,4449033,2014-08,0,0
18078,4594325,2014-09,1,0
18078,4180521,2014-05,0,0
18078,4436155,2014-08,0,0
18078,5764362,2015-08,1,0
18078,4084987,2014-04,1,0
18078,5474142,2015-06,1,0
18078,5105251,2015-03,1,0
18078,5533192,2015-07,0,0
18078,4235654,2014-06,1,0
18078,4980262,2015-02,0,0
18078,4481258,2014-08,1,0
18078,4269481,2014-06,1,0
18078,5764038,2015-08,1,0
18078,4635319,2014-10,0,0
18078,4984848,2015-02,0,0
18078,4360038,2014-07,0,0
18078,5558301,2015-07,0,0
18078,4075218,2014-03,0,0
18078,4773639,2014-11,0,0
18078,5676626,2015-08,1,0
18078,5456147,2015-06,1,0
18078,4007807,2014-01,1,0
18078,4499235,2014-08,1,0
18078,4312860,2014-07,1,0
18078,5440785,2015-06,1,0
18078,5372140,2015-06,1,0
18078,5456868,2015-06,1,0
18078,4561294,2014-09,0,0
18078,5531874,2015-07,0,0
18078,5113653,2015-03,1,0
18078,4677397,2014-10,0,0
18078,5483829,2015-06,0,0
18078,5597354,2015-07,0,0
18078,5534540,2015-07,1,0
18078,4811907,2014-12,0,0
18078,4248724,2014-06,0,0
18078,4508182,2014-09,0,0
18078,4764452,2014-11,0,0
18078,4659319,2014-10,1,0
18078,4838292,2014-12,0,0
18078,4083956,2014-04,0,0
18078,5617147,2015-07,1,0
18078,4719934,2014-11,0,0
18078,5396902,2015-06,0,0
18078,4160494,2014-05,0,0
18078,4860782,2014-12,1,0
18078,5563513,2015-07,1,0
18078,5383445,2015-06,0,0
18078,5462458,2015-06,1,0
18078,5165788,2015-04,1,0
18078,4316855,2014-07,1,0
18078,4410107,2014-07,0,0
18078,4408016,2014-07,1,0
18078,4831694,2014-12,0,0
18078,5414397,2015-06,1,0
18078,4835794,2014-12,0,0
18078,5369084,2015-06,1,0
18078,4145602,2014-05,1,0
18078,4149411,2014-05,0,0
18078,5168317,2015-04,0,0
18078,5645379,2015-07,0,0
18078,4581116,2014-09,1,0
18078,5165782,2015-04,1,0
18078,4811430,2014-12,1,0
18078,4007829,2014-01,1,0
18078,4495163,2014-08,0,0
18078,5383547,2015-06,0,0
18078,5354789,2015-05,0,0
18078,4077026,2014-03,0,0
18078,5255089,2015-05,1,0
18078,5309645,2015-05,0,0
18078,5496042,2015-07,1,0
18078,4340811,2014-07,1,0
18078,4860779,2014-12,1,0
18078,5470642,2015-06,1,0
18078,4362398,2014-07,0,0
18078,4985256,2015-02,1,0
18078,5401861,2015-06,1,0
18078,4495160,2014-08,0,0
18078,4691372,2014-11,1,0
18078,4202388,2014-05,0,0
18078,5264347,2015-05,1,0
18078,4014672,2014-02,0,0
18078,4860432,2014-12,1,0
18078,5040851,2015-03,1,0
18078,4102614,2014-04,1,0
18078,5064157,2015-03,1,0
18078,4305963,2014-07,0,0
18078,4537553,2014-09,1,0
18078,4498023,2014-08,1,0
18078,4178583,2014-05,1,0
18078,4851543,2014-12,1,0
18078,4891068,2014-12,1,0
18078,4132685,2014-04,1,0
18078,4163406,2014-05,1,0
18078,4080367,2014-04,1,0
18078,4621498,2014-10,1,0
18078,4825436,2014-12,0,0
18078,5188002,2015-04,1,0
18078,4813766,2014-12,0,0
18078,4080370,2014-04,1,0
18078,4004947,2014-01,0,0
18078,4250665,2014-06,1,0
18078,5637186,2015-07,0,0
18078,5482613,2015-06,0,0
18078,4663009,2014-10,1,0
18078,5423380,2015-06,1,0
18078,4925267,2015-01,0,0
18078,4523759,2014-09,1,0
18078,4015540,2014-02,1,0
18078,4782063,2014-11,0,0
18078,4743991,2014-11,1,0
18078,4181067,2014-05,0,0
18078,4717140,2014-11,0,0
18078,5489008,2015-06,0,0
18078,4092876,2014-04,1,0
18078,4841724,2014-12,0,0
18078,4447674,2014-08,1,0
18078,4627555,2014-10,0,0
18078,4648947,2014-10,1,0
18078,4161179,2014-05,1,0
18078,3970283,2014-01,1,0
18078,5483538,2015-06,0,0
18078,4569044,2014-09,0,0
18078,5260142,2015-05,0,0
18078,4495682,2014-08,0,0
18078,4656933,2014-10,0,0
18078,5367898,2015-06,1,0
18078,4780911,2014-11,1,0
18078,4359773,2014-07,1,0
18078,5026912,2015-02,0,0
18078,5423386,2015-06,1,0
18078,5597496,2015-07,1,0
18078,4468869,2014-08,1,0
18078,4227390,2014-06,1,0
18078,5759011,2015-08,1,0
18078,4749798,2014-11,1,0
18078,4907003,2015-01,0,0
18078,5688969,2015-08,1,0
18078,4879921,2014-12,1,0
18078,4026529,2014-02,1,0
18078,4700736,2014-11,1,0
18078,5612985,2015-07,0,0
18078,4088951,2014-04,0,0
18078,5403018,2015-06,1,0
18078,4392816,2014-07,1,0
18078,5348049,2015-05,1,0
18078,4297570,2014-06,1,0
18078,4015499,2014-02,1,0
18078,4831152,2014-12,0,0
18078,5231111,2015-04,1,0
18078,4933954,2015-01,1,0
18078,4730070,2014-11,0,0
18078,4829585,2014-12,0,0
18078,4352013,2014-07,0,0
18078,4661413,2014-10,1,0
18078,5289183,2015-05,0,0
18078,5493093,2015-07,0,0
18078,4261537,2014-06,0,0
18078,4985180,2015-02,1,0
18078,4661419,2014-10,1,0
18078,4481242,2014-08,1,0
18078,4753309,2014-11,1,0
18078,4134838,2014-04,0,0
18078,4548692,2014-09,1,0
18078,4420804,2014-08,1,0
18078,5639112,2015-07,0,0
18078,5571729,2015-07,0,0
18078,4265531,2014-06,1,0
18078,4694654,2014-11,0,0
18078,4863802,2014-12,0,0
18078,4774656,2014-11,1,0
18078,4588872,2014-09,0,0
18078,5704971,2015-08,1,0
18078,5482882,2015-06,1,0
18078,5595307,2015-07,0,0
18078,5676576,2015-08,1,0
18078,5192976,2015-04,0,0
18078,4607928,2014-10,0,0
18078,5160873,2015-04,0,0
18078,4223089,2014-06,0,0
18078,5354366,2015-05,0,0
18078,4503038,2014-09,0,0
18078,5156183,2015-04,0,0
18078,4027060,2014-02,0,0
18078,3971382,2014-01,0,0
18078,4975019,2015-01,1,0
18078,5351652,2015-05,0,0
18078,5473429,2015-06,1,0
18078,4985744,2015-02,1,0
18078,5361774,2015-06,0,0
18078,5501197,2015-07,1,0
18078,4836637,2014-12,1,0
18078,4975022,2015-01,1,0
18078,4020025,2014-02,1,0
18078,4501739,2014-09,0,0
18078,5017159,2015-02,1,0
18078,4067374,2014-03,0,0
18078,4020074,2014-02,1,0
18078,5470276,2015-06,0,0
18078,4876788,2014-12,0,0
18078,5541102,2015-07,0,0
18078,4028102,2014-02,0,0
18078,5108573,2015-03,1,0
18078,4186129,2014-05,0,0
18078,5444820,2015-06,1,0
18078,5614287,2015-07,0,0
18078,4810369,2014-12,1,0
18078,5361775,2015-06,0,0
18078,4622490,2014-10,1,0
18078,4739739,2014-11,0,0
18078,4505862,2014-09,1,0
18078,4755620,2014-11,0,0
18078,4581107,2014-09,0,0
18078,4607137,2014-10,0,0
18078,4069487,2014-03,1,0
18078,5098288,2015-03,1,0
18078,4836636,2014-12,1,0
18078,4111222,2014-04,1,0
18078,4749853,2014-11,0,0
18078,5401808,2015-06,1,0
18078,4345170,2014-07,1,0
18078,5562202,2015-07,0,0
18078,5504958,2015-07,1,0
18078,4518922,2014-09,0,0
18078,5016272,2015-02,1,0
18078,5197137,2015-04,1,0
18078,5534414,2015-07,0,0
18078,5044411,2015-03,1,0
18078,4396219,2014-07,1,0
18078,5280224,2015-05,1,0
18078,4860747,2014-12,1,0
18078,4741828,2014-11,1,0
18078,5602704,2015-07,0,0
18078,4896460,2014-12,1,0
18078,5627928,2015-07,1,0
18078,5098230,2015-03,1,0
18078,5489629,2015-06,0,0
18078,4169725,2014-05,0,0
18078,4085448,2014-04,1,0
18078,5597346,2015-07,1,0
18078,4648942,2014-10,1,0
18078,4336038,2014-07,1,0
18078,4523974,2014-09,0,0
18078,5360426,2015-06,0,0
18078,5050904,2015-03,1,0
18078,4659685,2014-10,0,0
18078,4771064,2014-11,0,0
18078,4481244,2014-08,1,0
18078,4118885,2014-04,0,0
18078,5401199,2015-06,1,0
18078,4824183,2014-12,1,0
18078,4111223,2014-04,1,0
18078,5421556,2015-06,1,0
18078,4267456,2014-06,1,0
18078,5075194,2015-03,1,0
18078,4181567,2014-05,1,0
18078,4008033,2014-01,1,0
18078,4707724,2014-11,0,0
18078,4085393,2014-04,1,0
18078,4870514,2014-12,1,0
18078,4187349,2014-05,0,0
18078,4750462,2014-11,0,0
18078,4580670,2014-09,0,0
18078,4701917,2014-11,0,0
18078,5496234,2015-07,0,0
18078,5300356,2015-05,0,0
18078,4101311,2014-04,1,0
18078,4402580,2014-07,0,0
18078,4549454,2014-09,0,0
18078,4290583,2014-06,0,0
18078,4714844,2014-11,0,0
18078,4899165,2015-01,1,0
18078,4281379,2014-06,1,0
18078,4519004,2014-09,0,0
18078,5367890,2015-06,1,0
18078,4648948,2014-10,1,0
18078,5165773,2015-04,1,0
18078,4033290,2014-02,1,0
18078,4811649,2014-12,0,0
18078,4985789,2015-02,1,0
18078,4221225,2014-06,1,0
18078,4623686,2014-10,0,0
18078,5565421,2015-07,0,0
18078,4237903,2014-06,1,0
18078,4858903,2014-12,0,0
18078,4154371,2014-05,0,0
18078,3990275,2014-01,1,0
18078,5239506,2015-04,1,0
18078,5260346,2015-05,0,0
18078,4427007,2014-08,1,0
18078,4487591,2014-08,1,0
18078,5484100,2015-06,1,0
18078,4726026,2014-11,1,0
18078,4005005,2014-01,1,0
18078,4790037,2014-12,1,0
18078,4376925,2014-07,0,0
18078,4588718,2014-09,1,0
18078,4007847,2014-01,1,0
18078,5766402,2015-08,0,0
18078,5685666,2015-08,0,0
18078,4401185,2014-07,1,0
18078,5620261,2015-07,0,0
18078,4100767,2014-04,1,0
18078,4781723,2014-11,0,0
18078,4028186,2014-02,1,0
18078,4267544,2014-06,1,0
18078,5527330,2015-07,0,0
18078,4974823,2015-01,1,0
18078,5653529,2015-08,0,0
18078,5377565,2015-06,1,0
18078,5316981,2015-05,0,0
18078,5013104,2015-02,0,0
18078,4903611,2015-01,0,0
18078,4754116,2014-11,1,0
18078,5698265,2015-08,1,0
18078,4383354,2014-07,0,0
18078,4857838,2014-12,1,0
18078,4731754,2014-11,0,0
18078,4279552,2014-06,1,0
18078,4124376,2014-04,0,0
18078,4267308,2014-06,0,0
18078,3170592,2013-12,1,0
18078,4332186,2014-07,0,0
18078,4007763,2014-01,1,0
18078,5326714,2015-05,1,0
18078,3183127,2013-12,1,0
18078,4470810,2014-08,1,0
18078,4985116,2015-02,1,0
18078,5465078,2015-06,0,0
18078,4853943,2014-12,0,0
18078,4553822,2014-09,1,0
18078,5331731,2015-05,1,0
18078,4552804,2014-09,0,0
18078,4806422,2014-12,1,0
18078,4784358,2014-11,0,0
18078,4531140,2014-09,0,0
18078,4047379,2014-03,1,0
18078,4322429,2014-07,0,0
18078,4985251,2015-02,1,0
18078,5703008,2015-08,0,0
18078,5665399,2015-08,0,0
18078,4165528,2014-05,0,0
18078,5678653,2015-08,0,0
20807,4636200,2014-10,0,0
20807,4947287,2015-01,1,0
20807,4039769,2014-03,1,0
20807,4222874,2014-06,0,0
20818,4729114,2014-11,0,0
43659,4148678,2014-05,1,0
43659,5542410,2015-07,1,0
43659,5547954,2015-07,1,0
48782,5521518,2015-07,1,0
55161,3229842,2013-12,1,0
55161,4895002,2014-12,1,0
61408,3236198,2013-12,0,1
61408,4606742,2014-10,0,1
69287,4895002,2014-12,1,0
78128,5337659,2015-05,0,0
79247,4895002,2014-12,1,0
79247,5748756,2015-08,1,0
79247,4097721,2014-04,1,0
79247,5659728,2015-08,1,0
79247,4977477,2015-02,0,0
79247,5674975,2015-08,0,0
85259,5327427,2015-05,1,0
85259,4502357,2014-09,1,0
86261,4175122,2014-05,1,0
97857,2978720,2013-09,1,0
109834,2993063,2013-09,0,0
117966,4192469,2014-05,1,0
123811,3139817,2013-11,0,0
123811,5306568,2015-05,0,0
123811,5136658,2015-03,0,0
123811,3243400,2013-12,0,0
123811,3080290,2013-10,0,0
123811,4046650,2014-03,0,0
123811,4945122,2015-01,0,0
123811,3164598,2013-11,0,0
123811,5307257,2015-05,0,0
123811,4479097,2014-08,0,0
123811,5092957,2015-03,0,0
123811,5572868,2015-07,1,0
123811,4757193,2014-11,0,0
123811,4646613,2014-10,0,0
123811,5429219,2015-06,0,0
123811,5611250,2015-07,0,0
123811,5508943,2015-07,0,0
123811,4002986,2014-01,0,0
123811,4495469,2014-08,1,0
123811,4944770,2015-01,0,0
123811,4001691,2014-01,0,0
123811,5619301,2015-07,0,0
123811,4596605,2014-09,0,0
123811,5508967,2015-07,0,0
123811,4472736,2014-08,0,0
123811,5152998,2015-04,0,0
123811,4422192,2014-08,1,0
123811,3997518,2014-01,0,0
123811,4646614,2014-10,0,0
123811,4132988,2014-04,0,0
123811,4793687,2014-12,0,0
123811,5546430,2015-07,0,0
123811,5657516,2015-08,0,0
123811,5778042,2015-08,1,0
126357,3993941,2014-01,1,0
128383,4686185,2014-10,1,0
143668,4691122,2014-11,1,0
143668,4550123,2014-09,1,0
143668,4605023,2014-10,1,0
143668,4052183,2014-03,1,0
155281,4907034,2015-01,0,0
160749,5575085,2015-07,0,0
160749,4971113,2015-01,0,0
160749,3011642,2013-09,0,0
160749,3967281,2014-01,0,0
160749,5661816,2015-08,0,0
160749,3020420,2013-09,0,0
160749,3233766,2013-12,0,0
160749,5083163,2015-03,0,0
160749,5184284,2015-04,0,0
160749,4275583,2014-06,0,0
160749,4623576,2014-10,0,0
160749,4834862,2014-12,0,0
160749,4543124,2014-09,1,0
160749,3994278,2014-01,1,0
160749,5429435,2015-06,0,0
160749,5740909,2015-08,0,0
168843,4239872,2014-06,1,1
168843,4260837,2014-06,1,1
168843,4261880,2014-06,1,1
168843,4213914,2014-05,1,1
181339,4936528,2015-01,1,0
181339,4374271,2014-07,1,0
181339,4882390,2014-12,1,0
182111,5539863,2015-07,0,0
182111,5446287,2015-06,0,0
186741,5729603,2015-08,0,0
186741,5616091,2015-07,0,0
189293,5439341,2015-06,1,0
189293,5439338,2015-06,1,0
189293,5193908,2015-04,1,0
190946,4869903,2014-12,1,0
199721,4220219,2014-06,0,0
204789,3011708,2013-09,1,0
204789,3014119,2013-09,1,0
204789,2972620,2013-09,1,0
204789,5774657,2015-08,1,0
204789,5539096,2015-07,1,0
204789,5483666,2015-06,1,0
204789,4350045,2014-07,1,0
205932,3229842,2013-12,1,0
205932,4895002,2014-12,1,0
205932,5136203,2015-03,1,0
217226,2981277,2013-09,0,0
225464,3182815,2013-12,0,0
225464,4783820,2014-11,0,0
225464,3205792,2013-12,0,0
225464,4445665,2014-08,0,0
225464,5191296,2015-04,1,0
225464,4517434,2014-09,1,0
225464,4134167,2014-04,0,0
225464,5624499,2015-07,0,0
225464,5281521,2015-05,0,0
225464,5559495,2015-07,0,0
225464,5732556,2015-08,1,0
228105,3054784,2013-10,1,0
228105,4274434,2014-06,1,0
228105,4262825,2014-06,1,0
228105,3060302,2013-10,1,0
228105,4791423,2014-12,1,0
229638,5574722,2015-07,1,0
229638,5608799,2015-07,1,0
231021,3984087,2014-01,1,0
242199,3174536,2013-12,0,0
247773,5527955,2015-07,1,0
248418,4981363,2015-02,1,0
248490,4198784,2014-05,1,0
258585,3037500,2013-10,1,0
258585,3052960,2013-10,1,0
258585,3056028,2013-10,1,0
258585,4347053,2014-07,1,0
258585,5393826,2015-06,1,0
258585,4938240,2015-01,1,0
258585,4210520,2014-05,1,0
258585,4938236,2015-01,1,0
258585,5367119,2015-06,1,0
258585,4220402,2014-06,1,0
258585,5367246,2015-06,1,0
258585,5707583,2015-08,1,0
258585,4233505,2014-06,1,0
258585,4938170,2015-01,1,0
258585,4247799,2014-06,1,0
258585,4220397,2014-06,1,0
258585,4220352,2014-06,1,0
258585,4563474,2014-09,1,0
276671,3016682,2013-09,1,0
276671,3067007,2013-10,1,0
276671,3170592,2013-12,1,0
276671,4010199,2014-02,1,0
276671,3997201,2014-01,1,0
276671,5000195,2015-02,1,0
276671,5750674,2015-08,1,0
276671,4749995,2014-11,1,0
276671,4585944,2014-09,1,0
276671,4150114,2014-05,1,0
276671,4128603,2014-04,1,0
288147,4315133,2014-07,1,0
288387,3233895,2013-12,1,0
288387,3222408,2013-12,1,0
288387,3983117,2014-01,1,0
289277,4223382,2014-06,1,0
292677,5260444,2015-05,0,0
293529,4909864,2015-01,1,0
293529,4962069,2015-01,1,0
293529,4757204,2014-11,1,0
299199,5037521,2015-03,1,0
299199,5493070,2015-07,0,0
299199,4218202,2014-06,1,0
299199,4117100,2014-04,1,0
299199,5550129,2015-07,1,0
305477,3006790,2013-09,1,0
305477,3172107,2013-11,1,0
305477,3197370,2013-12,1,0
305477,3182973,2013-12,1,0
305477,2989631,2013-09,1,0
305477,2988417,2013-09,1,0
305477,3090103,2013-10,1,0
305477,3065460,2013-10,1,0
305477,3183177,2013-12,1,0
305477,3026065,2013-09,1,0
305477,3183747,2013-12,1,0
305477,2980214,2013-09,1,0
305477,3074989,2013-10,1,0
305477,3173159,2013-12,1,0
305477,2983602,2013-09,1,0
305477,3168399,2013-11,1,0
305477,3108613,2013-11,1,0
305477,2997826,2013-09,1,0
305477,3136649,2013-11,1,0
305477,2987915,2013-09,1,0
305477,3010741,2013-09,1,0
305477,3102484,2013-11,1,0
305477,3127476,2013-11,1,0
305477,3069633,2013-10,1,0
305477,3069393,2013-10,1,0
305477,3168095,2013-11,1,0
305477,3101390,2013-11,1,0
305477,2988886,2013-09,1,0
305477,3073795,2013-10,1,0
305477,3085670,2013-10,1,0
305477,3110045,2013-11,1,0
305477,3136835,2013-11,1,0
305477,3014636,2013-09,1,0
305477,3075021,2013-10,1,0
305477,3084426,2013-10,1,0
305477,3091650,2013-10,1,0
305477,3183549,2013-12,1,0
305477,2972146,2013-09,1,0
305477,3082119,2013-10,1,0
305477,3171636,2013-11,1,0
305477,4933745,2015-01,1,0
305477,4842951,2014-12,1,0
305477,3964974,2014-01,1,0
305477,4198232,2014-05,1,0
305477,3069372,2013-10,1,0
305477,3136815,2013-11,1,0
322480,4197999,2014-05,1,0
324570,5263433,2015-05,0,0
324570,4944499,2015-01,1,0
324570,4944500,2015-01,1,0
324570,4972666,2015-01,1,0
326907,5233417,2015-04,1,0
326907,5245794,2015-04,1,0
326907,5502123,2015-07,1,0
326907,5187955,2015-04,1,0
326907,5284225,2015-05,1,0
326907,5261880,2015-05,1,0
326907,5319577,2015-05,1,0
326907,5615999,2015-07,1,0
326907,5307359,2015-05,1,0
326907,5266554,2015-05,1,0
332768,5179377,2015-04,0,0
336040,5492855,2015-07,1,0
337983,3231340,2013-12,0,0
337983,3206961,2013-12,0,0
360824,4588726,2014-09,1,0
360824,5616837,2015-07,1,0
365840,4834424,2014-12,1,0
365840,5627505,2015-07,0,0
372986,4269366,2014-06,1,0
375724,4833877,2014-12,1,0
375724,4652712,2014-10,1,0
388487,5492855,2015-07,1,0
392008,4311650,2014-07,1,0
392008,4228795,2014-06,1,0
392008,5573845,2015-07,1,0
392008,4313087,2014-07,1,0
392008,4126036,2014-04,1,0
392008,5355685,2015-05,1,0
393460,3239152,2013-12,1,0
395443,3222408,2013-12,1,0
396823,5339736,2015-05,1,0
396823,4781473,2014-11,1,0
397140,3242670,2013-12,0,0
397140,5438898,2015-06,0,0
397140,4267516,2014-06,0,0
397140,5491250,2015-07,0,0
423802,3032636,2013-09,1,0
423802,3234891,2013-12,1,0
423802,4392321,2014-07,1,0
423802,5035773,2015-03,1,0
425027,4471209,2014-08,0,0
433157,5610766,2015-07,0,0
433157,5688362,2015-08,0,0
434427,5505481,2015-07,1,0
435255,4451330,2014-08,1,0
435255,4805814,2014-12,1,0
435255,4849722,2014-12,1,0
435255,4783890,2014-11,1,0
435255,3129174,2013-11,1,0
437247,4983423,2015-02,1,0
437247,5636473,2015-07,1,0
437462,3110927,2013-11,1,0
437462,4773708,2014-11,0,0
437462,4725429,2014-11,1,0
450878,2989892,2013-09,1,0
450878,3132653,2013-11,1,0
450878,3104953,2013-11,0,0
450878,4307544,2014-07,1,0
450878,2989892,2013-09,1,0
450878,3132653,2013-11,1,0
450878,3104953,2013-11,0,0
450878,4307544,2014-07,1,0
451102,4278641,2014-06,1,0
451102,4840379,2014-12,1,0
456624,5610765,2015-07,1,0
462190,4082048,2014-04,1,0
463543,5040795,2015-03,0,0
463543,5018349,2015-02,0,0
464678,4506077,2014-09,1,0
464678,5695780,2015-08,1,0
465955,3987747,2014-01,1,0
466967,4870512,2014-12,1,0
479887,2983134,2013-09,0,0
479887,3041088,2013-10,0,0
479887,3231521,2013-12,1,0
479887,3022501,2013-09,0,0
479887,3030285,2013-09,0,0
479887,5190087,2015-04,0,0
479887,3241994,2013-12,0,0
