EID,ALTERNO,ALTDATE,ALTBE,ALTAF,TARGET
77918,05,2014-12,50,300,0
78581,05,2014-12,1200,1138.2,0
78807,05,2014-03,10,50,0
79247,05,2014-01,1002.3,1003.1,0
79247,05,2015-04,10000,10015,0
79247,05,2014-12,1003,10000,0
79247,05,2014-08,1003.1,1003,0
79401,05,2014-01,10,50,0
79401,27,2014-01,10,50,0
80365,27,2013-11,60,500,0
80365,05,2013-11,60,500,0
80879,05,2015-04,100万元,1000万元,0
80879,05,2015-04,100万元,1000万元,0
84411,05,2014-09,200,1000,0
84429,05,2014-08,10,1000,0
85511,05,2014-11,50,100,1
89755,05,2014-05,100,2000,0
90485,05,2014-08,50,2000,0
91192,05,2014-09,30,200,0
91192,05,2015-06,200,3000,0
93002,27,2013-11,100,500,0
94737,05,2015-03,10,2010,0
94773,05,2015-03,100,800,0
94948,05,2014-06,100,1000,0
95665,05,2015-04,50,200,0
95774,05,2014-11,30,300,1
96055,05,2014-12,50,580,0
97857,05,2014-02,1000,360,0
99528,05,2014-07,50,500,0
99981,05,2015-06,20,100,0
103847,05,2014-08,100,1100,1
104202,05,2015-05,10,100,0
105062,05,2014-07,200,500,0
106558,05,2014-08,50,300,0
106850,27,2013-12,20,100,1
106850,05,2013-12,20,100,1
106850,27,2013-12,20万元,100万元,1
106850,05,2013-12,20万元,100万元,1
106850,27,2013-12,20,100,1
106850,05,2013-12,20,100,1
106850,27,2013-12,20万元,100万元,1
106850,05,2013-12,20万元,100万元,1
106892,05,2014-07,100,300,0
107964,05,2014-05,3,500,0
109285,05,2014-07,10000,200,0
111425,05,2014-11,30,205.0864,0
112036,05,2015-08,10,100,0
114806,05,2014-08,10000,2000,0
115547,27,2013-12,151.535746,289.849864,0
115976,05,2014-03,10,100,0
117176,27,2013-12,10,1000,0
117176,05,2013-12,10,1000,0
117523,05,2014-01,10,100,0
117523,27,2014-01,10,100,0
117528,05,2013-10,3,50,1
117528,27,2013-10,3,50,1
117966,05,2014-04,10,201,0
120323,05,2014-08,10,100,1
120607,05,2015-04,500,2000,0
120870,05,2014-03,50,200,0
121394,05,2014-04,10,100,1
123447,05,2014-10,500,1000,0
124534,05,2014-10,100,1000,0
124847,05,2015-02,50,500,1
126753,27,2014-01,1.5,10,0
127583,05,2015-06,860,5000,0
128752,05,2014-05,100,500,0
129622,05,2014-06,30,100,0
132385,05,2015-01,50,100,0
134091,05,2015-07,20,100,0
134567,05,2014-11,200,1000,0
135704,05,2015-04,100,125,0
135790,05,2013-11,50,200,0
135790,05,2015-08,200,300,0
135790,27,2013-11,50,200,0
136999,05,2014-03,50万元,500万元,0
136999,05,2014-03,50万元,500万元,0
138763,05,2015-08,1000万元,2000万元,0
140234,05,2014-04,100,1100,0
140801,05,2014-04,100,1000,0
143668,05,2015-05,50,500,0
145342,05,2014-12,100,500,0
146897,05,2014-05,10000,12700,0
148017,05,2014-08,13,500,0
149332,05,2015-06,1000,2000,0
149574,05,2015-01,50,1080,0
149734,27,2014-01,0,100,0
149853,05,2014-09,50,300,0
151991,27,2014-01,10,1000,1
151991,05,2014-01,10,1000,1
152399,05,2015-08,150,1000,0
152399,05,2015-08,150万元,1000万元,0
152399,05,2015-08,150,1000,0
152399,05,2015-08,150万元,1000万元,0
154545,27,2013-10,12,60,0
155390,05,2014-09,100,110,0
156374,05,2014-03,20,110,0
156374,05,2014-03,20万元,110万元,0
156374,05,2014-03,20,110,0
156374,05,2014-03,20万元,110万元,0
158031,05,2014-05,20,100,0
158278,05,2015-06,1,50,0
158323,05,2014-10,10,100,0
162804,05,2014-04,50,500,0
163040,05,2014-06,50,1500,0
163103,05,2015-03,10,200,0
164849,05,2014-09,100,3000,1
164960,05,2014-05,200,500,0
164985,27,2013-09,100,300,0
164985,05,2013-09,100,300,0
167153,05,2015-07,100,500,1
168362,05,2015-05,100,1000,0
168843,27,2014-02,121.1,1000,1
168843,05,2014-02,121.1,1000,1
168843,05,2014-02,121.1万元,1000万元,1
168843,27,2014-02,121.1万元,1000万元,1
168843,27,2014-02,121.1,1000,1
168843,05,2014-02,121.1,1000,1
168843,05,2014-02,121.1万元,1000万元,1
168843,27,2014-02,121.1万元,1000万元,1
169348,05,2014-08,50,1000,0
170310,05,2015-06,10,100,1
170310,05,2015-07,100,150,1
171065,05,2014-12,3,600,1
171399,05,2013-12,100,1600,0
171399,27,2013-12,100,440,0
171399,05,2013-12,100万元,1600万元,0
171399,27,2013-12,100万元,440万元,0
171399,05,2013-12,100,1600,0
171399,27,2013-12,100,440,0
171399,05,2013-12,100万元,1600万元,0
171399,27,2013-12,100万元,440万元,0
175781,05,2014-09,1206万元,1560万元,0
175781,05,2013-12,1056万元,1206万元,0
175781,27,2013-12,1056万元,1206万元,0
177194,05,2015-05,10,200,0
177267,27,2013-11,50,100,0
177267,05,2013-11,50,100,0
177332,05,2014-04,100,1000,0
177363,05,2014-11,10,100,0
181704,05,2014-03,3,200,0
182111,05,2014-10,600,2170,0
182502,05,2015-06,100,200,1
183958,05,2014-10,50,220,0
183986,05,2015-05,100,600,1
185496,05,2015-08,10,500,1
185898,05,2015-03,50,400,0
185898,05,2015-03,50万元,400万元,0
185898,05,2015-03,50万元,400万元,0
185898,05,2015-03,50,400,0
185898,05,2015-03,50万元,400万元,0
185898,05,2015-03,50万元,400万元,0
187530,05,2015-01,200,700,0
187530,05,2015-08,700,1050,0
188014,05,2015-05,10,500,0
188099,27,2013-11,50,1000,0
188099,05,2013-11,50,1000,0
188338,05,2015-06,10,500,1
190274,05,2015-01,50,200,0
191644,05,2015-07,10,150,0
194115,27,2013-09,300,500,0
194115,05,2013-09,300,500,0
195140,05,2015-06,10,12.0482,1
196931,05,2014-05,100,142.857,0
197760,05,2014-03,10,500,1
198946,27,2013-12,200,300,0
198946,27,2013-11,100,200,0
199162,05,2014-04,100,500,0
199162,05,2014-04,100万元,500万元,0
199162,05,2014-04,100万元,500万元,0
199162,05,2014-04,100,500,0
199162,05,2014-04,100万元,500万元,0
199162,05,2014-04,100万元,500万元,0
199721,27,2013-12,4000,8000,0
199721,05,2013-12,4000,8000,0
199721,27,2013-12,4000万元,8000万元,0
199721,05,2013-12,4000万元,8000万元,0
199721,27,2013-12,4000,8000,0
199721,05,2013-12,4000,8000,0
199721,27,2013-12,4000万元,8000万元,0
199721,05,2013-12,4000万元,8000万元,0
200473,05,2014-07,50,100,0
200898,05,2014-04,510,610,0
200898,27,2013-10,160,340,0
200898,27,2013-12,340,510,0
200898,05,2015-03,610,1000,0
200898,05,2013-10,160,340,0
200898,05,2013-12,340,510,0
201955,27,2013-11,6330,330,0
201955,05,2013-11,6330,330,0
202980,05,2015-05,50,500,1
204126,05,2015-05,120,600,0
204451,05,2015-02,50,300,1
204767,05,2014-09,100,1000,0
207026,27,2013-09,50,150,1
207026,05,2013-09,50,150,1
207775,05,2015-05,100,138.8889,0
208219,05,2015-05,500,1000,0
208393,27,2013-12,200,1000,0
208393,05,2013-12,200,1000,0
208741,27,2013-11,8,20,0
208741,05,2013-11,8,30,0
208838,05,2015-04,3,30,0
208871,05,2014-02,3,103,1
208871,27,2014-02,3,103,1
209151,05,2014-09,50,500,0
209908,05,2014-08,1000,1100,0
209908,27,2014-02,100,500,0
209908,05,2015-05,1100,1200,0
209908,05,2014-07,500,1000,0
209908,05,2015-08,1200,1485,0
211160,05,2014-03,100,600,0
211469,27,2013-09,50,200,0
211469,05,2013-09,50,200,0
213982,05,2014-06,5,50,0
214035,05,2014-09,350,5000,0
214035,05,2013-09,300,350,0
214035,27,2013-09,300,350,0
214786,05,2015-05,10,100,1
214921,05,2014-05,100,200,1
216369,05,2014-02,50,200,0
216369,27,2014-02,50,200,0
217226,05,2015-03,102,302,0
219293,05,2014-06,300,2000,0
220752,05,2015-06,50,300,0
221320,27,2014-01,10,100,0
221320,05,2014-01,10,100,0
221893,05,2015-01,30,1000,0
223387,05,2015-07,100,200,0
223698,05,2014-08,50,500,1
223698,05,2014-08,50万元,500万元,1
223698,05,2014-08,50,500,1
223698,05,2014-08,50万元,500万元,1
224793,05,2014-08,2,100,0
224793,05,2014-08,2万元,100万元,0
224793,05,2014-08,2,100,0
224793,05,2014-08,2万元,100万元,0
225464,05,2014-05,500,800,0
227871,05,2015-06,1000,5000,0
228170,05,2015-08,150,200,0
230136,05,2014-11,8000,8377.9547,0
230136,05,2014-10,5000,8000,0
230849,05,2014-08,50,100,1
231203,27,2014-02,200,1000,1
232885,05,2015-05,10,380,1
237447,05,2015-06,10,200,0
237676,05,2014-12,600,2000,0
237676,05,2014-02,300,600,0
237676,27,2014-02,300,600,0
237859,27,2014-02,10,200,0
237859,05,2014-02,10,200,0
238929,05,2013-10,10,50,1
238929,27,2013-10,10,50,1
239960,05,2014-08,50,300,0
241641,05,2015-04,10,1000,0
241941,05,2015-01,10,100,0
242199,05,2014-10,50,150,0
243121,27,2013-11,20,5000,0
243121,05,2013-11,100,5000,0
245033,05,2014-04,50,70,0
245122,05,2015-01,50,300,0
245306,05,2015-06,50,800,1
246536,05,2013-12,1000,2440,0
247906,05,2015-05,10,500,0
248953,05,2014-09,10,100,0
251604,05,2014-03,3,100,1
251604,05,2014-03,3万元,100万元,1
251604,05,2014-03,3,100,1
251604,05,2014-03,3万元,100万元,1
252756,05,2015-08,3,100,0
255393,05,2014-07,5,100,0
255730,05,2015-08,10,200,1
256385,05,2015-06,50,100,0
256909,05,2014-07,10,100,1
260179,05,2014-08,10,100,0
262345,05,2015-07,5000,20000,0
262345,05,2015-03,1000,5000,0
265903,05,2015-04,850,2000,0
267022,05,2015-06,10,500,0
267143,05,2014-09,50,85,0
267809,27,2013-09,50,6050,1
267809,05,2013-09,50,6050,1
268376,05,2015-01,100,1000,0
268577,05,2014-06,650,2000,0
270243,05,2015-06,10,100,0
270816,27,2013-10,1000,3000,0
270816,05,2013-10,1000,3000,0
272429,05,2014-01,1000,2000,0
272429,27,2014-01,1000,2000,0
272613,05,2014-07,30,300,0
273701,05,2014-09,50万元,550万元,0
273701,05,2014-09,50万元,550万元,0
273861,27,2014-01,0,70,0
277183,05,2014-11,100,500,0
278345,05,2015-07,10,200,0
279256,05,2015-01,40,200,0
279777,05,2015-04,100,300,0
280135,05,2015-05,10,200,0
281195,05,2014-08,300,3000,0
282218,05,2014-12,10,2000,0
282218,05,2015-05,2000,3000,0
282476,05,2014-05,60,120,0
282476,27,2014-05,60,120,0
284157,05,2015-04,100,600,0
284330,05,2015-06,50,300,1
288147,05,2015-07,500万元,625万元,0
288159,05,2014-11,10,500,0
288815,05,2014-11,50万元,270万元,1
288815,05,2014-11,50万元,270万元,1
289670,05,2015-08,3,500,0
290111,05,2014-06,260,1798.7568,0
290719,05,2015-07,500,9800,0
292776,05,2014-09,50,150,0
292776,05,2014-09,50万元,150万元,0
292776,05,2014-09,50,150,0
292776,05,2014-09,50万元,150万元,0
293130,05,2015-06,3000,3160,1
295266,27,2013-11,60,80,0
296983,05,2014-06,50,200,0
297609,05,2014-07,10,100,0
301448,05,2015-03,10,50,0
304069,05,2014-06,50,200,0
304585,05,2015-01,50,100,0
305477,05,2014-11,500,2000,0
305477,05,2014-11,500万元,2000万元,0
305477,05,2014-11,500万元,2000万元,0
305477,05,2014-11,500,2000,0
305477,05,2014-11,500万元,2000万元,0
305477,05,2014-11,500万元,2000万元,0
306729,05,2015-07,10,500,0
307840,05,2014-06,3,200,1
311379,05,2014-04,10,100,1
311521,05,2014-07,10,510,0
311521,05,2014-07,10万元,510万元,0
311521,05,2014-07,10,510,0
311521,05,2014-07,10万元,510万元,0
314297,05,2015-07,10,200,0
315148,05,2014-11,100,1000,0
315681,05,2014-06,5000,10000,0
316254,05,2014-11,50,900,0
318538,05,2014-05,50,300,0
322225,05,2015-08,50,100,0
322760,05,2014-05,50,100,0
323842,05,2014-12,50,200,0
324243,05,2015-04,10,500,0
324243,05,2015-07,500,600,0
324290,05,2014-05,3,1000,0
325764,05,2014-07,10,60,0
326024,05,2014-04,500,1000,0
326137,05,2014-07,10,100,0
326907,05,2015-03,100,500,0
327285,27,2013-09,50,1000,0
327285,05,2015-04,1000,5000,0
327285,05,2013-09,50,1000,0
329136,05,2015-07,2100,800,0
330824,05,2013-11,51,1000,1
330824,27,2013-11,51,1000,1
330824,27,2013-11,51万元,1000万元,1
330824,05,2013-11,51万元,1000万元,1
330824,05,2013-11,51万元,1000万元,1
330824,27,2013-11,51万元,1000万元,1
330824,05,2013-11,51,1000,1
330824,27,2013-11,51,1000,1
330824,27,2013-11,51万元,1000万元,1
330824,05,2013-11,51万元,1000万元,1
330824,05,2013-11,51万元,1000万元,1
330824,27,2013-11,51万元,1000万元,1
331150,05,2015-06,50,230,0
332031,05,2013-10,10,200,1
332031,27,2013-10,10,200,1
333179,05,2015-07,1184540.2,4030683.17,0
333279,05,2014-04,10,300,0
333792,05,2015-07,3,103,0
334003,05,2014-09,100,1100,0
335242,05,2015-05,50,1000,0
336040,27,2013-12,5000,5840,0
336040,05,2013-12,5000,5840,0
336040,05,2013-12,5000万元,5840万元,0
336040,27,2013-12,5000万元,5840万元,0
336040,27,2013-12,5000,5840,0
336040,05,2013-12,5000,5840,0
336040,05,2013-12,5000万元,5840万元,0
336040,27,2013-12,5000万元,5840万元,0
337286,05,2015-03,100,1000,0
340351,05,2014-05,10,100,0
340723,05,2015-06,800,2000,0
340723,05,2015-03,100,800,0
340949,05,2015-04,10,100,0
342280,05,2013-09,50,100,0
342280,27,2013-09,50,100,0
342938,05,2015-04,100,200,0
342938,05,2014-11,10,100,0
343507,05,2013-09,10,50,0
343507,27,2013-09,10,50,0
343687,05,2014-06,30,200,1
344134,05,2014-06,10,200,0
346073,27,2014-01,2000,10000,0
346073,05,2014-04,10000,100000,0
346073,05,2014-01,2000,10000,0
348276,05,2015-04,100,2000,0
349340,05,2014-12,50,100,0
351985,05,2015-04,100,1000,1
352152,05,2014-12,3,200,1
352177,05,2014-08,10,50,0
352555,05,2015-01,200,500,0
352555,05,2014-05,50,200,0
352555,05,2015-05,500,800,0
353410,05,2015-06,30,100,0
355671,05,2014-07,10,100,1
358721,05,2014-09,118,518,0
358792,27,2013-10,50,200,0
358792,05,2013-10,50,200,0
359244,05,2015-01,50,300,0
362255,05,2014-08,20,200,0
362539,05,2015-02,100,2000,0
362724,05,2015-04,3,6,0
364750,27,2014-03,50,100,0
364750,05,2014-03,50,100,0
365196,05,2014-06,30,50,1
365884,05,2014-12,300,600,0
365884,05,2015-03,600,300,0
366442,05,2014-03,50,550,0
366703,05,2015-07,10,100,0
367778,27,2013-11,142.857,388.199,0
367778,05,2015-08,388.199,543.4676,0
367778,05,2013-11,142.857,388.199,0
368572,05,2014-06,10,100,0
370178,05,2015-06,3000,6000,0
370715,05,2015-06,200,2000,0
371281,05,2013-10,3.5,50,1
371281,27,2013-10,3.5,50,1
371559,05,2015-05,50,100,0
372879,05,2013-11,100,350,1
372879,27,2013-11,100,350,1
373684,05,2015-07,100,108,0
374215,05,2014-03,40000,100000,0
375215,05,2014-05,50,500,0
375484,05,2014-07,20,500,0
375839,27,2014-02,10,1000,0
375839,05,2014-02,10,1000,0
376459,05,2015-03,10,100,1
377802,05,2014-05,10,100,0
380129,05,2014-10,300,1000,0
381248,27,2014-01,50,450,0
381248,05,2014-01,50,500,0
382458,27,2014-01,8000,14000,1
382458,05,2014-01,8000,14000,1
382530,05,2014-05,10,100,0
390226,05,2015-01,205,3030,0
391323,05,2015-07,30万元,1000万元,0
394329,27,2015-02,300,400,0
394329,05,2015-02,300,400,0
395910,05,2015-01,100,300,0
395910,05,2014-03,30,100,0
395930,05,2014-12,50,500,1
396598,05,2014-05,100,5000,0
397812,05,2015-03,100,600,0
398148,05,2015-05,3,8,1
399342,05,2015-05,100,2,0
399609,05,2014-06,1000,5000,0
400070,05,2014-08,50,500,0
404706,05,2014-07,303,1053,0
404706,05,2014-06,300,303,0
405090,05,2014-08,10,200,0
405901,05,2014-09,10,200,0
408448,05,2015-03,100,382.9413,0
410769,05,2015-04,100,210,1
411462,05,2015-04,50,500,1
413237,05,2014-05,300,1000,0
413581,05,2014-08,10,100,0
414372,05,2014-03,600,1600,0
414372,05,2015-05,1600,6000,0
414391,05,2014-04,3,1000,0
414601,05,2014-10,10,100,1
415866,05,2014-08,30,300,0
416415,05,2015-06,200,666.6667,0
417135,05,2013-12,3,110,0
417135,27,2013-12,3,110,0
417465,05,2015-08,210,50,0
421024,05,2015-01,500,1088,0
421383,27,2014-02,10,200,0
421383,05,2014-02,10,200,0
421813,05,2015-04,10,11.1111,0
421983,05,2014-03,50,100,0
422975,05,2014-03,500,2000,0
422975,05,2014-03,500万元,2000万元,0
422975,05,2014-03,500万元,2000万元,0
422975,05,2014-03,500,2000,0
422975,05,2014-03,500万元,2000万元,0
422975,05,2014-03,500万元,2000万元,0
423834,05,2015-01,500,769.2308,1
423834,05,2015-01,500万元,769.2308万元,1
423834,05,2015-01,500,769.2308,1
423834,05,2015-01,500万元,769.2308万元,1
424887,05,2015-02,30,300,0
426685,05,2014-10,5,30,0
427095,05,2014-07,10,60,0
427368,05,2015-03,50,100,0
428469,05,2014-09,10,100,1
431445,05,2014-04,10,100,0
432675,05,2015-03,50,500,0
433492,05,2015-08,10,3000,0
434545,27,2013-10,50,100,1
434545,05,2013-10,50,100,1
435202,05,2014-12,3,1000,0
435255,05,2013-09,350,600,0
435255,27,2013-09,350,450,0
436072,05,2013-11,20,80,0
436072,27,2013-11,20,80,0
436329,05,2014-06,300,1000,0
436999,05,2015-03,100,1000,1
436999,05,2014-04,3,100,1
437570,27,2014-01,100,110.2392,0
437570,05,2014-09,110.2392,108.6112,0
437570,05,2014-01,100,110.2392,0
437619,05,2013-12,12840.606,22840.606,0
437619,27,2013-12,12840.606,22840.606,0
437678,05,2014-10,10,100,1
438043,27,2014-02,10,100,0
438043,05,2014-02,10,100,0
439832,05,2014-04,50,600,0
440895,05,2015-04,50,100,0
441614,05,2014-09,50,100,0
444911,05,2014-05,50,1050,0
446556,27,2013-11,100,300,0
446556,05,2013-11,100,300,0
447477,05,2015-04,3,1000,0
448301,05,2015-04,10,20,0
448913,05,2015-05,50,500,0
449002,05,2014-04,10,100,0
449143,05,2014-11,100,990,1
455710,05,2015-06,100万元,600万元,0
456134,05,2014-12,200,205,0
456624,05,2015-04,50,100,0
456624,27,2013-09,10,50,0
458585,05,2014-05,30,100,1
459043,27,2013-12,10,12,0
459043,05,2013-12,10,12,0
461095,05,2015-02,10,1200,0
461375,05,2014-06,20,100,0
461601,27,2013-10,10,50,0
461601,05,2013-10,10,50,0
462065,05,2015-06,50,600,0
462190,05,2014-07,100,500,0
463543,05,2015-02,50,100,0
463742,05,2015-08,1000,3000,0
463742,27,2015-08,1000,3000,0
464708,05,2015-03,20,100,1
464804,05,2014-01,20,220,1
464804,27,2014-01,20,220,1
465002,05,2015-02,280,600,0
465379,05,2014-05,50,200,1
466908,05,2015-07,3,300,0
468512,05,2015-06,505,1005,0
468512,05,2014-01,100,505,0
468512,27,2014-01,100,505,0
470497,05,2014-03,500,1000,0
470641,05,2014-12,300,1500,0
472436,27,2013-12,100,160,0
472436,05,2013-12,100,160,0
473570,05,2015-03,3,50,1
473915,05,2014-04,10,100,1
475031,05,2015-02,400,1000,0
475816,05,2015-06,200,5000,0
475966,05,2014-11,10,100,0
476867,27,2013-12,6,30,0
477318,05,2015-03,50,300,1
477424,05,2015-05,1000,10000,0
477645,05,2014-08,1008,6000,1
477993,05,2015-08,50,250,0
480256,05,2014-11,50,200,0
480424,05,2015-07,100,1000,1
481405,05,2014-04,50,200,0
482647,05,2014-04,300,2000,0
482903,05,2014-11,50,500,0
482903,05,2014-04,30,50,0
483618,05,2015-03,100,500,0
483792,05,2014-11,100,1000,0
486323,05,2014-04,10,108,1
488960,05,2014-10,500,5000,1
489043,05,2014-01,30,130,1
489043,27,2014-01,30,130,1
489686,05,2014-08,100,500,1
490814,05,2014-07,3,1000,0
490964,05,2015-01,10,30,1
492119,05,2014-04,10,100,0
494918,05,2014-03,180,500,0
494958,05,2014-03,100,200,0
495890,05,2015-05,100,1000,0
497487,05,2015-06,20,100,0
500422,05,2014-06,50,1000,0
505133,05,2015-03,50,1000,0
505355,05,2015-01,50,300,0
506624,27,2014-01,0,80,0
506624,05,2014-05,80,580,0
506624,27,2014-01,0万元,80万元,0
506624,05,2014-05,80万元,580万元,0
506624,27,2014-01,0,80,0
506624,05,2014-05,80,580,0
506624,27,2014-01,0万元,80万元,0
506624,05,2014-05,80万元,580万元,0
513267,05,2013-09,50,100,0
513267,27,2013-09,50,100,0
513910,05,2015-03,100,1000,0
514034,27,2013-12,3,100,0
514034,05,2013-12,3,100,0
514288,05,2015-04,300万元,1000万元,0
514288,05,2014-01,251万元,300万元,0
514288,05,2013-12,100万元,251万元,0
514288,27,2014-01,251万元,300万元,0
514288,27,2013-12,100万元,251万元,0
514288,05,2014-01,251万元,300万元,0
514288,05,2013-12,100万元,251万元,0
514288,27,2014-01,251万元,300万元,0
514288,05,2015-04,300万元,1000万元,0
514288,27,2013-12,100万元,251万元,0
514512,05,2014-08,50,1000,0
514926,05,2013-09,50,200,0
514926,27,2013-09,50,200,0
515816,05,2015-03,5,300,1
515816,05,2015-03,5万元,300万元,1
515816,05,2015-03,5,300,1
515816,05,2015-03,5万元,300万元,1
517784,05,2014-04,3,100,0
518382,05,2015-02,30,150,0
518382,05,2015-02,30万元,150万元,0
518382,05,2015-02,30,150,0
518382,05,2015-02,30万元,150万元,0
518729,27,2014-02,1000,7500,1
518729,05,2014-02,1000,7500,1
519660,27,2013-09,14000,13860,0
519660,05,2014-07,13860,14000,0
519660,05,2013-09,14000,13860,0
521108,05,2014-09,10,30,0
523028,05,2013-11,50,260,0
523028,27,2013-11,50,260,0
523465,05,2015-03,200,5000,0
524757,27,2013-09,300,1000,1
524757,05,2013-09,300,1000,1
526358,05,2015-03,10,100,0
526358,05,2015-03,10万元,100万元,0
526358,05,2015-03,10,100,0
526358,05,2015-03,10万元,100万元,0
177,05,2014-07,100,1000,0
291,27,2013-12,0.9,6,0
411,05,2014-12,170,500,0
411,27,2013-12,50,170,0
411,05,2013-12,50,170,0
1973,05,2014-06,50万元,1050万元,0
1973,05,2014-06,50万元,1050万元,0
2246,05,2015-03,200,300,0
2509,05,2015-08,76.9231万元,500万元,0
2509,05,2015-07,50万元,76.9231万元,0
3488,05,2014-09,50,200,0
5723,27,2013-11,3800,5000,0
5723,27,2013-09,3300,3800,0
5723,05,2013-11,3800,5000,0
5723,05,2013-09,3300,3800,0
5860,05,2015-05,20,80,0
6659,05,2015-05,100,500,0
7389,05,2015-07,30,800,1
7562,05,2015-06,36,5000,0
7923,05,2014-12,50,300,0
8445,05,2013-12,10,50,0
8445,27,2013-12,10,50,0
9714,05,2014-07,50,60,1
10232,05,2014-11,50,100,1
10572,27,2013-12,3,10,0
12178,05,2014-05,50,1000,0
14974,05,2014-08,50,1000,0
14974,05,2015-01,1000,3000,0
15178,05,2014-06,1,100,1
15621,05,2014-03,10,500,1
15733,05,2014-12,100,1200,0
17549,05,2014-07,50,100,0
18895,05,2014-12,10,300,0
19776,05,2014-02,10,500,0
19776,27,2014-02,10,500,0
20819,05,2015-06,86001.0005万元,87001.0005万元,0
20819,05,2015-04,86001万元,86001.0005万元,0
20819,05,2014-12,1001万元,86001万元,0
21375,05,2015-04,10,50,1
22177,05,2015-02,10,100,0
22515,27,2013-10,3,50,0
22515,05,2013-10,3,50,0
29361,05,2014-12,3750,5200,0
30633,27,2014-01,10万元,12.8572万元,0
30633,05,2014-01,10万元,12.8572万元,0
32206,05,2015-06,50,1000,0
32659,05,2015-07,100,300,0
33126,05,2014-09,200万元,5000万元,0
33126,05,2014-09,200万元,5000万元,0
35355,05,2015-05,50,500,0
38200,05,2014-12,200,2000,0
40372,05,2014-09,50,350,0
44426,05,2014-03,50,500,0
45106,05,2015-07,500,3000,0
46298,05,2014-11,10,50,0
46803,05,2015-07,10,200,0
46803,05,2015-07,10万元,200万元,0
46803,05,2015-07,10,200,0
46803,05,2015-07,10万元,200万元,0
50627,05,2014-10,20,120,0
50627,05,2015-02,120,1000,0
52063,05,2014-08,30,1300,0
52484,05,2015-08,1000,1010,0
52484,05,2015-04,500,1000,0
52484,05,2015-08,1000万元,1010万元,0
52484,05,2015-04,500万元,1000万元,0
52484,05,2015-08,1000,1010,0
52484,05,2015-04,500,1000,0
