EID,TYPECODE,LAWDATE,LAWAMOUNT,TARGET
204789,44371220,2012-12-01,30000,0
204789,103880899,2015-07-01,73800,0
209166,82381849,2013-12-01,1105200,0
211667,108983884,2014-12-01,30000,1
211667,97935585,2014-12-01,30000,1
212895,85058771,2014-07-01,99400,0
212895,85058656,2014-07-01,1028000,0
212895,60087942,2013-01-01,503800,0
212895,97780066,2014-07-01,223100,0
212895,61087684,2013-03-01,305800,0
212895,60109179,2013-01-01,2980400,0
212895,85058765,2014-07-01,110000,0
213401,97775080,2014-04-01,275500,0
213401,80123016,2014-04-01,275500,0
213401,81389985,2014-05-01,275500,0
213603,42992047,2012-10-01,1749300,0
213603,110577810,2015-04-01,4320000,0
213603,91856850,2014-11-01,247800,0
213603,61467382,2013-04-01,2400,0
213603,85042109,2014-07-01,190500,0
213603,99546363,2015-04-01,207200,0
213603,67909168,2013-07-01,2016500,0
213603,83473374,2014-07-01,70811500,0
213603,97802352,2014-07-01,190500,0
213603,110776700,2015-08-01,27224400,0
213603,111538156,2015-01-01,89788400,0
213603,105250920,2015-08-01,27224400,0
213603,105603319,2015-08-01,27224400,0
213603,101731991,2015-04-01,207200,0
213603,100384728,2015-04-01,4320000,0
213603,99912475,2015-04-01,47373900,0
213603,91756194,2014-10-01,203200,0
213603,75057221,2014-01-01,0,0
213603,73324761,2013-09-01,2000000,0
213603,73325264,2013-10-01,171000,0
213603,73323651,2013-06-01,1699400,0
213603,80155078,2014-05-01,30000000,0
213603,75018172,2014-01-01,3607000,0
213603,81299948,2014-01-01,3607000,0
213603,73324456,2013-07-01,294000,0
214508,102686366,2015-05-01,1086100,1
214508,101889041,2015-05-01,1086100,1
216365,61671061,2013-05-01,0,1
216953,101089701,2015-04-01,60000,0
216953,85062329,2014-08-01,94000,0
216953,101483186,2015-01-01,105200,0
217431,67905066,2013-07-01,0,0
224487,98733498,2015-03-01,0,0
240555,106296180,2015-08-01,15700,1
255801,338989,2015-06-01,151000,0
255801,102086901,2015-06-01,151000,0
258585,42633530,2012-10-01,262600,0
258585,41823752,2012-09-01,5680000,0
258585,62075168,2013-06-01,0,0
258585,44354985,2012-12-01,5680000,0
258585,62075065,2013-06-01,5680000,0
258585,61240685,2013-03-01,5680000,0
258585,104156059,2015-06-01,2879200,0
266439,91927431,2014-11-01,0,0
275126,61606392,2013-04-01,13500,0
275126,61603066,2013-04-01,18900,0
284330,91829705,2014-10-01,16800,1
284330,97798411,2014-10-01,16800,1
290294,103133025,2014-12-01,2011400,0
290294,97959058,2014-12-01,2011400,0
293098,105607095,2015-08-01,1676100,1
300701,75005859,2013-12-01,33100,0
313644,94338173,2014-12-01,2050600,0
313644,98464406,2015-03-01,14690000,0
314818,103423104,2015-06-01,297800,0
314818,102932840,2015-06-01,374600,0
314818,103773597,2015-07-01,58800,0
314818,102687936,2015-05-01,75700,0
326024,101485235,2015-05-01,150000,0
330188,99415641,2015-03-01,6700,1
330188,108979382,2015-03-01,6200,1
330188,91784434,2014-07-01,6700,1
330188,89763202,2014-08-01,54920400,1
330188,99415483,2015-03-01,15000,1
330188,83478419,2014-07-01,6700,1
330188,108979325,2015-03-01,15000,1
330188,110597818,2015-07-01,14700,1
330188,108753942,2015-07-01,13000,1
330188,104414029,2015-07-01,14700,1
330188,99415639,2015-03-01,6200,1
330188,85513412,2014-08-01,54920400,1
337212,97769975,2014-12-01,6000000,0
337212,73371594,2013-09-01,6585500,0
345148,97788453,2014-08-01,100,0
345148,85070854,2014-08-01,100,0
353175,75384472,2014-02-01,5200,0
358721,60400294,2013-01-01,194500,0
360824,93542232,2014-12-01,3700,0
361785,91700387,2014-08-01,21000,0
361785,87376475,2014-08-01,21000,0
363030,97995204,2015-01-01,2200,0
363030,99059826,2015-02-01,74400,0
363030,93536123,2014-12-01,70614400,0
370715,108993405,2015-07-01,80000,0
370715,104417366,2015-07-01,80000,0
370715,105248508,2015-07-01,80000,0
374995,76458589,2014-02-01,0,0
377796,87370643,2014-05-01,159200,0
377796,17182070,2012-12-01,3340000,0
377796,87437117,2014-02-01,1920000,0
377796,87437381,2014-05-01,80900,0
377796,91716959,2014-05-01,80900,0
377796,96498123,2015-01-01,136000,0
377796,96498206,2015-01-01,1036900,0
377796,91690530,2014-05-01,159200,0
377796,91716385,2014-02-01,1920000,0
377796,75065140,2014-02-01,1920000,0
384473,97522944,2015-03-01,10900,0
397726,108904968,2015-04-01,12200,1
397726,100523058,2015-04-01,12200,1
397726,101737837,2015-04-01,17400,1
397726,100523070,2015-04-01,86300,1
397726,100523062,2015-04-01,8800,1
397726,100523270,2015-04-01,24200,1
397726,100645026,2015-04-01,19200,1
397726,100645028,2015-04-01,17400,1
397841,62330282,2013-01-01,206100,0
398942,42061333,2012-09-01,196200,0
398942,75076048,2014-01-01,155900,0
398942,80060740,2014-01-01,155900,0
398942,73343445,2013-10-01,155900,0
404254,75006019,2013-12-01,11500,0
404254,96509603,2014-12-01,21000,0
404254,96509718,2014-12-01,21000,0
404254,108958704,2014-12-01,82500,0
404254,97981355,2014-12-01,82500,0
409701,85055685,2014-07-01,693200,0
409701,76448613,2013-09-01,190400,0
412109,87371797,2014-08-01,190000,0
412109,91720604,2014-08-01,190000,0
412109,83264344,2014-07-01,748800,0
412109,97820566,2014-08-01,190000,0
412109,78174485,2014-01-01,624400,0
412109,86119883,2014-08-01,200000,0
412885,99418749,2015-03-01,0,0
423841,85045914,2014-07-01,5100,0
425376,60053810,2013-01-01,12500,0
431682,99057462,2015-02-01,13100,0
436072,100467912,2015-04-01,32400,0
436072,109150370,2015-04-01,32400,0
437462,76441234,2014-03-01,0,0
437462,97523233,2015-02-01,555400,0
439509,91756758,2014-06-01,30900,1
439509,83477563,2014-06-01,30900,1
439509,91756373,2014-05-01,30900,1
439509,81377580,2014-05-01,30900,1
439509,97812889,2014-05-01,45000,1
439509,81325063,2014-05-01,45000,1
439509,91756357,2014-05-01,45000,1
439691,106851584,2015-08-01,45200,0
439691,92541673,2014-12-01,45200,0
446953,99031583,2015-01-01,140000,0
450186,76455777,2014-01-01,65400,0
450186,61131718,2013-03-01,0,0
450186,80058154,2014-01-01,65400,0
450260,74999030,2013-11-01,253300,0
450878,42511288,2012-10-01,178100,0
450878,61667534,2013-03-01,178100,0
450878,86943349,2014-09-01,360000,0
450878,83570064,2014-06-01,28700,0
450878,83512007,2014-04-01,286800,0
450878,91808864,2014-09-01,360000,0
462065,85061844,2014-08-01,46200,0
468677,95253346,2015-01-01,7200,0
468677,95201474,2015-01-01,7300,0
468677,95207617,2015-01-01,9800,0
468677,95231540,2015-01-01,7300,0
468677,95203059,2015-01-01,7200,0
471517,87435122,2014-05-01,81900,0
471517,91708471,2014-05-01,81900,0
471517,97811311,2014-05-01,81900,0
472751,42474570,2012-10-01,0,0
473394,75024131,2013-07-01,490000,0
475816,98060360,2015-03-01,6100,0
475816,99057804,2015-02-01,1510000,0
475816,73355007,2013-11-01,71900,0
475816,109149262,2015-03-01,6100,0
475816,80295106,2013-11-01,71900,0
477918,91808423,2014-09-01,6000,0
478104,110595552,2015-01-01,199800,1
478104,96515394,2015-01-01,199800,1
479945,67909145,2013-07-01,713200,0
479945,73324283,2013-06-01,8107400,0
486404,110590166,2015-06-01,44300,0
486404,102501618,2015-06-01,44300,0
488111,86293540,2014-09-01,44800,0
488111,86796112,2014-09-01,44800,0
488111,91687547,2014-09-01,44800,0
500422,99035456,2015-01-01,11400,0
500422,101683842,2015-01-01,11400,0
513428,91682134,2014-07-01,500,0
513428,86297609,2014-07-01,500,0
522607,65514109,2012-12-01,8800,0
522607,44449778,2012-12-01,20200,0
522607,61978993,2013-05-01,65100,0
522607,80060453,2014-01-01,7000,0
522607,75015012,2014-01-01,19100,0
522607,103064882,2015-04-01,39000,0
522607,99636148,2015-04-01,39000,0
522607,80059798,2014-01-01,19100,0
522607,73344229,2013-11-01,7000,0
3385,62289353,2013-04-01,0,0
3488,92413104,2014-11-01,25300,0
3488,89234665,2014-11-01,23400,0
3488,97786094,2014-11-01,23400,0
11305,97801243,2014-05-01,20000,0
11305,81377028,2014-05-01,126000,0
11305,97785064,2014-05-01,126000,0
11305,88394455,2014-07-01,154200,0
11305,85041771,2014-05-01,20000,0
15733,79939330,2013-12-01,18100,0
15733,73382451,2013-08-01,150900,0
15733,67911417,2013-07-01,151600,0
15733,75021174,2013-12-01,18100,0
15733,67911204,2013-07-01,6400,0
28103,93813662,2014-12-01,30600,0
43260,108907763,2015-07-01,3260800,0
46169,99031289,2014-12-01,81600,1
55822,97965244,2014-12-01,5000000,0
55822,101091549,2015-05-01,20900,0
55822,101093840,2015-05-01,31200,0
55822,101736035,2015-04-01,173400,0
55822,101091552,2015-05-01,32600,0
55822,104638453,2015-07-01,600,0
55822,106926824,2015-08-01,1200,0
55822,111181160,2015-08-01,600,0
55822,111181188,2015-08-01,1200,0
55822,111865068,2015-04-01,173400,0
55822,111181053,2015-06-01,1000,0
55822,111181035,2015-06-01,2300,0
55822,109178985,2015-05-01,31200,0
55822,109179002,2015-05-01,84400,0
55822,111865141,2015-06-01,116500,0
55822,98526636,2015-03-01,33600,0
55822,109179029,2015-07-01,86200,0
55822,103051320,2015-03-01,1800,0
55822,98526639,2015-03-01,1800,0
55822,106926783,2015-08-01,39800,0
55822,101091561,2015-05-01,32300,0
55822,101888882,2015-05-01,84400,0
55822,109178966,2015-05-01,32600,0
55822,101091487,2015-05-01,27900,0
55822,111181115,2015-07-01,21300,0
55822,104638455,2015-07-01,21300,0
55822,109100775,2015-05-01,27900,0
55822,111181149,2015-08-01,19800,0
55822,111865200,2015-06-01,53900,0
55822,97226940,2014-12-01,49447000,0
55822,106926791,2015-08-01,19800,0
55822,112493941,2014-12-01,5000000,0
55822,106926794,2015-08-01,600,0
55822,85064690,2014-08-01,15093000,0
55822,103051312,2015-03-01,33600,0
55822,111865327,2015-08-01,39800,0
55822,100547791,2015-04-01,173400,0
55822,100523459,2015-04-01,4458000,0
55822,111195017,2015-06-01,7200,0
55822,109179037,2015-07-01,43600,0
55822,101888875,2015-05-01,37100,0
55822,111181021,2015-01-01,14100,0
55822,111181093,2015-07-01,600,0
55822,109178973,2015-05-01,32300,0
55822,111548891,2015-06-01,53900,0
55822,111548025,2015-04-01,173400,0
55822,111548472,2015-06-01,116500,0
55822,102153630,2015-06-01,116500,0
55822,111919576,2014-12-01,5000000,0
55822,111549505,2015-08-01,39800,0
55822,102153633,2015-06-01,2300,0
55822,13926851,2014-12-01,49447000,0
56117,91691123,2014-09-01,152300,0
56117,99040563,2014-09-01,152300,0
56117,87370968,2014-09-01,152300,0
65886,101543079,2015-03-01,15300,0
65886,99098390,2015-03-01,15300,0
74469,88349709,2014-04-01,200000,0
74469,79321029,2014-04-01,200000,0
74469,73370604,2013-06-01,320000,0
74469,73370593,2013-06-01,200000,0
74469,73370599,2013-06-01,300000,0
74469,61160016,2013-03-01,100000,0
74469,73370767,2013-07-01,100000,0
74469,91746641,2014-04-01,200000,0
74469,61075151,2013-03-01,100000,0
74469,61076639,2013-03-01,100000,0
75589,61105480,2013-01-01,7400,0
75589,91814895,2014-07-01,2700,0
78615,85057874,2014-02-01,56700,0
78615,81340171,2014-02-01,18800,0
78615,85057850,2014-02-01,17900,0
78615,75073723,2014-02-01,56500,0
78615,75073734,2014-02-01,56700,0
78615,75073600,2014-02-01,17900,0
78615,75073610,2014-02-01,16600,0
78615,85057856,2014-02-01,17900,0
78615,85057845,2014-02-01,19100,0
78615,75073615,2014-02-01,17900,0
78615,85057887,2014-02-01,17900,0
78615,75073597,2014-02-01,17900,0
78615,75073593,2014-02-01,17900,0
78615,75073739,2014-02-01,18800,0
78615,85057855,2014-02-01,16600,0
78615,85057876,2014-02-01,56500,0
78615,75073595,2014-02-01,19100,0
78615,85057849,2014-02-01,17900,0
78615,75073606,2014-02-01,16600,0
78615,85057851,2014-02-01,16600,0
88130,76445442,2013-12-01,4603800,0
98417,61101919,2013-02-01,110000,0
98417,102527923,2015-06-01,10100,0
99518,85736889,2014-02-01,259800,1
99518,82393901,2014-02-01,259800,1
99518,77387363,2014-02-01,259800,1
100274,101093936,2015-05-01,22100,0
100274,104247472,2015-07-01,20000,0
100274,108921627,2015-07-01,20000,0
100274,111397905,2015-07-01,20000,0
100274,101093938,2015-05-01,50000,0
100274,104115794,2015-07-01,13100,0
102558,99304565,2014-11-01,2852600,0
106694,104115620,2015-07-01,30000,0
114839,102425009,2015-06-01,0,0
115044,69035423,2013-01-01,13957800,1
115044,69035549,2013-01-01,262600,1
122953,81437958,2014-06-01,1900,0
123026,105406495,2015-07-01,114900,0
123026,107210277,2015-07-01,114900,0
123026,104288795,2015-07-01,114900,0
123026,113040528,2015-07-01,114900,0
123026,111974685,2015-07-01,114900,0
123026,112129694,2015-07-01,114900,0
139252,73368711,2013-11-01,60000,1
143639,61854578,2013-05-01,4500,0
143639,61854576,2013-05-01,3800,0
143639,62083003,2013-05-01,2300,0
143639,62083283,2013-05-01,1800,0
143639,67767168,2013-08-01,500,0
143639,67766565,2013-08-01,400,0
143639,67767171,2013-08-01,400,0
143639,67910756,2013-06-01,3000,0
143639,97818639,2014-08-01,11500,0
143639,99028988,2014-04-01,760000,0
143639,79317769,2014-04-01,760000,0
143639,75022521,2013-12-01,217100,0
143639,91712481,2014-08-01,11500,0
143639,87436430,2014-08-01,11500,0
143653,60053674,2013-01-01,12800,1
165439,112419611,2015-08-01,200000,0
165439,105252933,2015-08-01,200000,0
167050,42227548,2012-09-01,9400,0
167082,73368709,2013-11-01,28400,0
173393,73370123,2013-10-01,246200,1
173393,42651481,2012-10-01,363400,1
173393,103043626,2015-06-01,0,1
173393,85043524,2014-03-01,147000,1
173393,76431524,2014-03-01,147000,1
173393,60708302,2013-02-01,579600,1
173393,75613183,2014-01-01,437600,1
173393,60708073,2013-02-01,576400,1
173393,97805848,2014-03-01,147000,1
173393,99045895,2015-01-01,0,1
173393,86283126,2014-01-01,300000,1
173393,99045879,2015-01-01,0,1
184688,43781252,2012-11-01,370000,0
184688,43783446,2012-11-01,370000,0
190702,81478767,2014-06-01,17400,0
190702,97781538,2014-06-01,17400,0
190702,104417695,2015-07-01,17300,0
190702,81478790,2014-06-01,63600,0
190702,97781544,2014-06-01,63600,0
190702,105269690,2015-07-01,17300,0
190702,104417674,2015-07-01,63000,0
196853,85066590,2014-08-01,186500,0
196853,91758062,2014-08-01,186500,0
200277,85073129,2014-08-01,751900,0
205527,90836899,2013-12-01,9600,0
205527,85293405,2013-12-01,9600,0
205527,102501071,2015-06-01,1519500,0
205527,69285145,2012-11-01,3300,0
215538,67689753,2013-08-01,13800,0
219863,85055204,2014-07-01,22800,0
222500,99088244,2015-03-01,37500,1
231500,75003718,2013-12-01,90900,0
231500,44012717,2012-09-01,17000,0
231500,44012640,2012-11-01,16700,0
238818,104414619,2015-07-01,30800,0
238818,108952197,2015-07-01,30800,0
239858,61289904,2013-03-01,263600,0
239858,109042982,2015-05-01,854700,0
239858,108948563,2014-12-01,11100,0
239858,93694480,2014-12-01,3600,0
239858,101818234,2015-05-01,854700,0
239858,93877143,2014-12-01,11100,0
243821,63893848,2013-08-01,6600,0
243821,63971287,2013-08-01,14100,0
243821,63894225,2013-08-01,6700,0
243821,104866408,2015-05-01,0,0
243821,67904289,2013-06-01,400,0
243821,67904297,2013-06-01,400,0
243821,67904295,2013-06-01,400,0
243821,67904293,2013-06-01,2900,0
243821,67904291,2013-06-01,700,0
243821,67904287,2013-06-01,3400,0
243821,62048274,2013-04-01,4100,0
243821,62051017,2013-04-01,400,0
243821,62050950,2013-04-01,400,0
243821,62048442,2013-04-01,400,0
243821,60740989,2013-03-01,700,0
243821,63892922,2013-08-01,3800,0
243821,63894712,2013-08-01,14100,0
243821,64021401,2013-08-01,11300,0
243821,73401577,2013-11-01,113400,0
243821,60741267,2013-03-01,2900,0
243821,60740716,2013-03-01,400,0
243821,63921467,2013-08-01,2600,0
243821,64020329,2013-08-01,14500,0
243821,60741540,2013-03-01,4200,0
243821,63894064,2013-08-01,4400,0
243821,60738284,2013-03-01,400,0
243821,63893592,2013-08-01,25300,0
243821,60741013,2013-03-01,1200,0
243821,63957349,2013-08-01,6200,0
243821,63893457,2013-08-01,3600,0
243821,60744847,2013-03-01,400,0
243821,60740626,2013-03-01,400,0
243821,60739322,2013-03-01,700,0
243821,64021582,2013-08-01,32400,0
243821,64020749,2013-08-01,7400,0
243821,60741932,2013-03-01,700,0
243821,60739071,2013-03-01,1100,0
243821,60739903,2013-03-01,700,0
243821,63965496,2013-08-01,6900,0
243821,63920158,2013-08-01,3400,0
243821,63892577,2013-08-01,3400,0
243821,63921314,2013-08-01,13400,0
243821,60744643,2013-03-01,400,0
243821,63921801,2013-08-01,13600,0
243821,64022063,2013-08-01,14600,0
243821,63893128,2013-08-01,3000,0
243821,63920651,2013-08-01,4000,0
243821,60740406,2013-03-01,4100,0
243821,60740233,2013-03-01,3400,0
243821,64024786,2013-08-01,3000,0
243821,64011201,2013-08-01,9200,0
243821,64014839,2013-08-01,7100,0
243821,62088599,2013-06-01,117300,0
243821,63921583,2013-08-01,4200,0
243821,63894542,2013-08-01,7200,0
243821,64018547,2013-08-01,6300,0
243821,60738753,2013-03-01,400,0
243821,64020994,2013-08-01,8300,0
243821,63956719,2013-08-01,10000,0
243821,64010246,2013-08-01,8100,0
243821,79286600,2014-03-01,117300,0
243821,60741241,2013-03-01,2900,0
243821,60747740,2013-03-01,4200,0
245185,43203045,2012-11-01,27800,0
245185,105265166,2015-07-01,5200,0
245185,104790943,2015-07-01,500,0
245185,44150438,2012-12-01,7300,0
245185,72985628,2013-12-01,690800,0
245185,104415762,2015-07-01,5200,0
245185,100178815,2015-03-01,78900,0
245185,75065224,2014-02-01,4000,0
245185,80321531,2013-12-01,690800,0
245185,75064598,2014-01-01,20700,0
245185,81331422,2014-05-01,176400,0
245185,80317895,2014-01-01,20700,0
247515,92714056,2014-09-01,1855600,0
247515,97523455,2015-02-01,2027700,0
257646,98097226,2015-02-01,100700,0
257646,76440756,2014-01-01,495600,0
259204,66086004,2013-05-01,0,0
259204,62157849,2013-06-01,158700,0
262626,60606926,2013-02-01,11000,0
262626,60606270,2012-12-01,9000,0
272235,108984932,2015-04-01,6800,0
272235,99913941,2015-04-01,6800,0
273471,88265192,2014-10-01,13900,0
273471,85037131,2014-08-01,75100,0
273471,88265915,2014-10-01,25200,0
274615,67904234,2013-07-01,307300,0
276148,81333708,2014-04-01,1200,0
276148,81333735,2014-04-01,9300,0
276148,81333719,2014-04-01,3600,0
276148,81333710,2014-04-01,5500,0
276148,81333724,2014-04-01,1200,0
276148,81333722,2014-04-01,6200,0
276148,81333704,2014-04-01,5600,0
276148,81333717,2014-04-01,600,0
276148,81333715,2014-04-01,2500,0
276148,81333706,2014-04-01,1500,0
276148,81333712,2014-04-01,1200,0
277752,110591625,2015-06-01,33000,1
277752,105939094,2015-06-01,33000,1
281798,106926355,2015-08-01,322800,0
281798,109176883,2015-08-01,322800,0
281798,74996606,2014-01-01,1781600,0
281798,73325564,2013-07-01,1781600,0
282259,61244333,2013-04-01,6577000,0
282612,100644226,2015-04-01,139300,0
282612,91743211,2014-09-01,1400000,0
282612,98908692,2015-03-01,590000,0
285565,43456021,2012-11-01,54600,0
310990,60503993,2013-02-01,1000,1
310990,87436211,2014-07-01,10600,1
310990,108951115,2015-08-01,17000,1
310990,112179310,2015-06-01,18800,1
310990,106297896,2015-08-01,17000,1
310990,91711616,2014-07-01,10600,1
310990,85044913,2014-05-01,6300,1
310990,91710944,2014-07-01,800,1
314549,60047692,2012-12-01,20200,1
316602,97888489,2015-01-01,15600,0
325378,110337059,2015-07-01,1210000,0
325378,104414368,2015-07-01,1210000,0
325378,91741826,2014-09-01,118600,0
326476,85271698,2014-08-01,12000,0
326476,91893759,2014-08-01,12000,0
329808,103058630,2015-03-01,240500,0
329808,101687989,2015-01-01,300,0
329808,98520875,2015-03-01,240500,0
341076,10299847,2015-05-01,20300000,0
341076,101089283,2015-05-01,6600000,0
341076,104366901,2015-04-01,23700,0
341076,101187958,2015-05-01,20300000,0
346536,96520240,2015-01-01,35000,0
346536,101820810,2015-05-01,25700,0
346536,108768002,2015-05-01,25700,0
348349,85068275,2014-08-01,39000,0
350578,108920464,2015-06-01,7000,0
351000,80322674,2014-01-01,60600,0
351000,66016509,2013-04-01,985500,0
351000,76441804,2014-01-01,60600,0
351773,93757587,2014-10-01,20100,0
352106,67907570,2013-06-01,19800,0
357178,101230024,2015-05-01,136300,0
357178,103025520,2015-05-01,136300,0
360184,61089751,2013-03-01,0,0
370590,85055381,2014-06-01,0,0
373553,88350355,2014-07-01,44000,1
373553,88350321,2014-07-01,19200,1
373553,88350351,2014-07-01,12000,1
373553,88350382,2014-07-01,22000,1
373553,88350378,2014-07-01,22000,1
373553,88350375,2014-07-01,22000,1
373553,88350369,2014-07-01,22000,1
373553,88350364,2014-07-01,16000,1
373553,88350360,2014-07-01,22000,1
373553,88350357,2014-07-01,22000,1
373553,88350348,2014-07-01,21000,1
373553,88350346,2014-07-01,22000,1
373553,88350342,2014-07-01,22000,1
373553,88350339,2014-07-01,19200,1
373553,88350334,2014-07-01,19200,1
373553,88350325,2014-07-01,22000,1
373553,88350413,2014-07-01,22000,1
373553,88350407,2014-07-01,22000,1
373553,88350405,2014-07-01,22000,1
373553,88350400,2014-07-01,22000,1
373553,88350398,2014-07-01,22000,1
373553,88350394,2014-07-01,22000,1
373553,88350388,2014-07-01,22000,1
373553,88350386,2014-07-01,16000,1
373553,88350425,2014-07-01,22000,1
373553,88350421,2014-07-01,22000,1
373553,88350416,2014-07-01,16000,1
373553,87435980,2014-07-01,0,1
373553,83484198,2014-07-01,22000,1
373553,83484177,2014-07-01,21000,1
373553,91746800,2014-07-01,22000,1
373553,83484175,2014-07-01,22000,1
373553,91756706,2014-06-01,760700,1
373553,91746786,2014-07-01,22000,1
373553,91746818,2014-07-01,22000,1
373553,91746808,2014-07-01,22000,1
373553,91746784,2014-07-01,22000,1
373553,91746752,2014-07-01,22000,1
373553,83484168,2014-07-01,19200,1
373553,91746781,2014-07-01,16000,1
373553,91746825,2014-07-01,22000,1
373553,91746755,2014-07-01,19200,1
373553,83484215,2014-07-01,16000,1
373553,83484169,2014-07-01,22000,1
373553,91710777,2014-07-01,0,1
373553,91746779,2014-07-01,22000,1
373553,91746763,2014-07-01,22000,1
373553,83484173,2014-07-01,22000,1
373553,83484192,2014-07-01,44000,1
373553,91746814,2014-07-01,22000,1
373553,91746771,2014-07-01,12000,1
373553,91746823,2014-07-01,22000,1
373553,91746766,2014-07-01,22000,1
373553,91746750,2014-07-01,19200,1
373553,91746795,2014-07-01,16000,1
373553,91746821,2014-07-01,16000,1
373553,91746774,2014-07-01,44000,1
373553,91746792,2014-07-01,22000,1
373553,91746760,2014-07-01,19200,1
373553,91746788,2014-07-01,22000,1
373553,91746802,2014-07-01,22000,1
373553,91746797,2014-07-01,22000,1
373553,91746757,2014-07-01,22000,1
373553,91746769,2014-07-01,21000,1
373553,83484154,2014-07-01,19200,1
373553,83484180,2014-07-01,12000,1
373553,91746777,2014-07-01,22000,1
373553,83484171,2014-07-01,19200,1
373553,83484207,2014-07-01,22000,1
373553,91746811,2014-07-01,22000,1
373553,83484156,2014-07-01,22000,1
374010,102934993,2015-06-01,1906700,1
